Metric,S0,S1,S2,S3,S4
Candidate population,2900,2900,2900,2900,2900
Retained candidates,2900,2900,2320,2320,2320
Common evaluable population,1866,1866,1866,1866,1866
Retained common evaluable,1866,1866,1417,1396,1405
MAE30 median %,-1.1160965077256002,-1.1160965077256002,-0.9975062344139696,-1.0170756396899627,-1.0270270270270276
MAE30 p05 %,-5.76075271706997,-5.76075271706997,-4.698082547936306,-5.300258814399806,-5.022065806379534
MAE30 worst5 mean %,-9.240023697264437,-9.240023697264437,-7.589091123518045,-8.783598072607457,-7.700164538887895
-1% downside rate %,53.751339764201504,53.751339764201504,49.82357092448836,50.5730659025788,50.88967971530249
-2% downside rate %,30.921757770632368,30.921757770632368,27.59350741002117,28.868194842406876,28.398576512455517
-3% downside rate %,18.435155412647376,18.435155412647376,15.102328863796753,16.332378223495702,15.302491103202847
+1% preservation / winner retention %,100.0,100.0,73.18840579710145,73.69565217391305,73.55072463768116
+2% preservation / winner retention %,100.0,100.0,69.58710976837865,71.90332326283988,70.39274924471299
+3% preservation / winner retention %,100.0,100.0,65.82633053221288,69.88795518207283,68.20728291316527
+5% preservation / winner retention %,100.0,100.0,63.170731707317074,68.29268292682927,64.39024390243902
LOW_THEN_HIGH +3% retention %,100.0,100.0,69.54813359528487,73.47740667976424,71.90569744597249
LOW_THEN_HIGH +5% retention %,100.0,100.0,65.24590163934427,71.47540983606558,66.55737704918033
MFE session median %,2.1682239329298136,2.1682239329298136,1.9230769230769162,2.075161033509443,1.9884877027734227
MAE session median %,-2.149254497395231,-2.149254497395231,-1.904761904761909,-2.0248611577024844,-1.9607843137254943
MAE60 median %,-1.6423357664233529,-1.6423357664233529,-1.4670014347202276,-1.543739279588341,-1.5091396894226838
Return30 mean %,0.0908650407132646,0.0908650407132646,0.11587733959182563,0.1043347395174463,0.13038348207298653
Return30 median %,0.0,0.0,0.0,0.0,0.0
Session return mean %,-0.19724111120624885,-0.19724111120624885,-0.09881039482333946,-0.029013825224952317,-0.03857274249703052
Session return median %,-0.43478260869564966,-0.43478260869564966,-0.3117692907248615,-0.37947328508073364,-0.3117692907248615
Positive30 rate %,48.660235798499464,48.660235798499464,48.270995059985886,48.06590257879656,49.11032028469751
Downside utility mean %,-1.7139165834227503,-1.7139165834227503,-1.451171841693533,-1.570791684758468,-1.4681852566005247
