Metric,S0,S1,S2,S3,S4
Candidates,1000,1000,800,800,800
Usable common samples,0,0,0,0,0
MAE30 median %,,,,,
MAE30 p05 %,,,,,
-1% downside rate %,,,,,
-2% downside rate %,,,,,
-3% downside rate %,,,,,
+1% preservation / winner retention %,,,,,
+2% preservation / winner retention %,,,,,
+3% preservation / winner retention %,,,,,
+5% preservation / winner retention %,,,,,
LOW_THEN_HIGH +3% retention %,,,,,
LOW_THEN_HIGH +5% retention %,,,,,
Return30 mean %,,,,,
Return30 median %,,,,,
Return30 positive %,,,,,
MAE60 median %,,,,,
Session MAE median %,,,,,
Session return mean %,,,,,
Downside adjusted utility %,,,,,
