Metric,IMMEDIATE,CURRENT,E0,E1,E2,E3,E4,E5,E6,E7
Opportunities,"2,155.000","2,155.000","2,155.000","2,155.000","2,155.000","2,155.000","2,155.000","2,155.000","2,155.000","2,155.000"
Enter count,"1,392.000",60.000,"1,467.000","1,491.000","1,502.000","1,555.000","1,422.000","1,645.000","1,643.000","1,630.000"
Enter/session,24.000,1.034,25.293,25.707,25.897,26.810,24.517,28.362,28.328,28.103
No entry %,35.406,97.216,31.926,30.812,30.302,27.842,34.014,23.666,23.759,24.362
MAE30 n,"1,195.000",44.000,"1,095.000","1,117.000","1,159.000","1,239.000","1,034.000","1,273.000","1,260.000","1,235.000"
MAE30 median %,-1.240,-1.626,-1.080,-1.094,-1.161,-1.186,-1.078,-1.161,-1.182,-1.200
MAE30 p05 %,-6.140,-9.693,-5.517,-5.719,-5.719,-6.074,-5.625,-6.140,-6.182,-6.149
MAE30 worst5 mean %,-9.301,-12.818,-8.182,-8.255,-8.780,-8.833,-8.175,-9.185,-9.075,-9.012
MFE median %,2.060,5.359,1.688,1.772,1.772,1.951,1.673,1.952,1.926,1.915
Net return30 mean %,-0.080,0.801,0.038,0.029,-0.023,-0.032,0.012,-0.050,-0.063,-0.053
Net return30 median %,-0.100,0.651,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100
Positive30 %,45.941,59.091,43.288,45.389,44.521,45.763,44.487,45.640,46.349,46.235
Entry improvement mean %,-0.121,2.122,-0.144,-0.086,-0.145,-0.135,-0.123,-0.154,-0.156,-0.144
WAIT median minutes,0.000,2.500,5.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000
+1 capture %,63.770,2.807,60.227,61.965,62.634,68.516,56.350,72.660,72.059,70.388
+2 capture %,65.370,3.036,56.736,59.583,61.480,69.165,53.036,73.150,72.011,71.442
+3 capture %,65.966,3.679,55.059,59.658,61.761,67.674,51.905,71.748,70.171,70.171
+5 capture %,68.382,5.147,57.843,64.461,63.725,68.382,54.167,74.510,73.284,73.039
