feature,family,status,source,PIT_available_at,missing_rate,coverage,denominator,derivation,future_leak_risk,approved_for_research,notes
selectorRank,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
selectorScore,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
isDip,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
candidateBreadth,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
anchorAge,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
elapsed,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
minutesSinceOpen,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
minutesUntilSegmentEnd,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
afternoon,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
anchorPrice,SELECTOR_TIME,AVAILABLE_PIT,exact saved selector/opportunity,decision timestamp; bar.end<=decision,0.0,3508,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
displacement,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
lastBody,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
lastRange,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
closeLocation,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
upperWick,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
lowerWick,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
recentHighDistance,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
recentLowDistance,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
momentum3,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
reclaim,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
failedReclaim,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,0.8098631698973774,667,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
higherHigh,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,1.0,0,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
higherLow,PRICE,DERIVABLE_PIT,saved completed 5m prefix,decision timestamp; bar.end<=decision,1.0,0,3508,see features(); no future/open at decision input,blocked by prefix projection; per-bar publication delay not serialized,True,coverage is opportunity-emission only; WAIT coverage separately reported; missing indicators preserve absence
