Entry,Horizon,BUY,Path available,Complete,Censored,Unavailable,Reasons
IMMEDIATE,30,1392,1392,1195,0,197,{'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 197}
IMMEDIATE,60,1392,1392,911,243,238,"{'LUNCH_OR_SESSION_BOUNDARY': 243, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 238}"
CURRENT,30,60,55,44,8,8,"{'LUNCH_OR_SESSION_BOUNDARY': 8, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 8}"
CURRENT,60,60,55,33,19,8,"{'LUNCH_OR_SESSION_BOUNDARY': 19, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 8}"
E0,30,1467,1467,1095,158,214,"{'LUNCH_OR_SESSION_BOUNDARY': 158, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 214}"
E0,60,1467,1467,789,442,236,"{'LUNCH_OR_SESSION_BOUNDARY': 442, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 236}"
E1,30,1491,1491,1117,145,229,"{'LUNCH_OR_SESSION_BOUNDARY': 145, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 229}"
E1,60,1491,1491,811,424,256,"{'LUNCH_OR_SESSION_BOUNDARY': 424, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 256}"
E2,30,1502,1502,1159,116,227,"{'LUNCH_OR_SESSION_BOUNDARY': 116, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 227}"
E2,60,1502,1502,830,425,247,"{'LUNCH_OR_SESSION_BOUNDARY': 425, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 247}"
E3,30,1555,1555,1239,88,228,"{'LUNCH_OR_SESSION_BOUNDARY': 88, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 228}"
E3,60,1555,1555,907,387,261,"{'LUNCH_OR_SESSION_BOUNDARY': 387, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 261}"
E4,30,1422,1422,1034,184,204,"{'LUNCH_OR_SESSION_BOUNDARY': 184, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 204}"
E4,60,1422,1422,741,455,226,"{'LUNCH_OR_SESSION_BOUNDARY': 455, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 226}"
E5,30,1645,1645,1273,87,285,"{'LUNCH_OR_SESSION_BOUNDARY': 87, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 285}"
E5,60,1645,1645,923,400,322,"{'LUNCH_OR_SESSION_BOUNDARY': 400, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 322}"
E6,30,1643,1643,1260,102,281,"{'LUNCH_OR_SESSION_BOUNDARY': 102, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 281}"
E6,60,1643,1643,901,425,317,"{'LUNCH_OR_SESSION_BOUNDARY': 425, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 317}"
E7,30,1630,1630,1235,124,271,"{'LUNCH_OR_SESSION_BOUNDARY': 124, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 271}"
E7,60,1630,1630,897,426,307,"{'LUNCH_OR_SESSION_BOUNDARY': 426, 'MISSING_REQUIRED_SOURCE_SLOT_OR_ENDPOINT': 307}"
