Entry,Metric,Horizon,Threshold,Numerator,Denominator,Unknown,Rate
IMMEDIATE,CAPTURE,SESSION_END,1,954,1496,0,63.77005347593583
IMMEDIATE,HIT,30,1,715,1392,127,51.36494252873563
IMMEDIATE,HIT,60,1,836,1392,234,60.05747126436781
IMMEDIATE,CAPTURE,SESSION_END,2,689,1054,0,65.37001897533207
IMMEDIATE,HIT,30,2,392,1392,166,28.160919540229884
IMMEDIATE,HIT,60,2,505,1392,348,36.27873563218391
IMMEDIATE,CAPTURE,SESSION_END,3,502,761,0,65.9658344283837
IMMEDIATE,HIT,30,3,209,1392,183,15.014367816091953
IMMEDIATE,HIT,60,3,310,1392,413,22.270114942528735
IMMEDIATE,CAPTURE,SESSION_END,4,377,544,0,69.30147058823529
IMMEDIATE,HIT,30,4,125,1392,187,8.979885057471265
IMMEDIATE,HIT,60,4,210,1392,441,15.086206896551724
IMMEDIATE,CAPTURE,SESSION_END,5,279,408,0,68.38235294117646
IMMEDIATE,HIT,30,5,82,1392,192,5.890804597701149
IMMEDIATE,HIT,60,5,148,1392,453,10.632183908045977
CURRENT,CAPTURE,SESSION_END,1,42,1496,0,2.807486631016043
CURRENT,HIT,30,1,43,60,8,71.66666666666667
CURRENT,HIT,60,1,45,60,11,75.0
CURRENT,CAPTURE,SESSION_END,2,32,1054,0,3.0360531309297913
CURRENT,HIT,30,2,32,60,10,53.333333333333336
CURRENT,HIT,60,2,35,60,16,58.333333333333336
CURRENT,CAPTURE,SESSION_END,3,28,761,0,3.679369250985545
CURRENT,HIT,30,3,22,60,13,36.666666666666664
CURRENT,HIT,60,3,29,60,18,48.333333333333336
CURRENT,CAPTURE,SESSION_END,4,25,544,0,4.595588235294118
CURRENT,HIT,30,4,17,60,15,28.333333333333332
CURRENT,HIT,60,4,24,60,22,40.0
CURRENT,CAPTURE,SESSION_END,5,21,408,0,5.147058823529412
CURRENT,HIT,30,5,14,60,16,23.333333333333332
CURRENT,HIT,60,5,20,60,24,33.333333333333336
E0,CAPTURE,SESSION_END,1,901,1496,0,60.22727272727273
E0,HIT,30,1,655,1467,261,44.648943421949554
E0,HIT,60,1,769,1467,384,52.41990456714383
E0,CAPTURE,SESSION_END,2,598,1054,0,56.73624288425047
E0,HIT,30,2,343,1467,326,23.38104976141786
E0,HIT,60,2,444,1467,519,30.265848670756647
E0,CAPTURE,SESSION_END,3,419,761,0,55.059132720105126
E0,HIT,30,3,193,1467,350,13.156100886162235
E0,HIT,60,3,279,1467,585,19.01840490797546
E0,CAPTURE,SESSION_END,4,315,544,0,57.904411764705884
E0,HIT,30,4,129,1467,363,8.793456032719837
E0,HIT,60,4,197,1467,617,13.428766189502387
E0,CAPTURE,SESSION_END,5,236,408,0,57.84313725490196
E0,HIT,30,5,83,1467,369,5.657805044308112
E0,HIT,60,5,130,1467,639,8.861622358554873
E1,CAPTURE,SESSION_END,1,927,1496,0,61.96524064171123
E1,HIT,30,1,692,1491,260,46.41180415828303
E1,HIT,60,1,815,1491,374,54.66130114017438
E1,CAPTURE,SESSION_END,2,628,1054,0,59.58254269449716
E1,HIT,30,2,368,1491,324,24.681421864520456
E1,HIT,60,2,466,1491,516,31.2541918175721
E1,CAPTURE,SESSION_END,3,454,761,0,59.65834428383705
E1,HIT,30,3,209,1491,351,14.017437961099933
E1,HIT,60,3,300,1491,587,20.120724346076457
E1,CAPTURE,SESSION_END,4,342,544,0,62.86764705882353
E1,HIT,30,4,130,1491,361,8.718980549966465
E1,HIT,60,4,205,1491,622,13.74916163648558
E1,CAPTURE,SESSION_END,5,263,408,0,64.46078431372548
E1,HIT,30,5,86,1491,368,5.767940979208585
E1,HIT,60,5,140,1491,646,9.389671361502348
E2,CAPTURE,SESSION_END,1,937,1496,0,62.63368983957219
E2,HIT,30,1,700,1502,232,46.60452729693742
E2,HIT,60,1,816,1502,374,54.32756324900133
E2,CAPTURE,SESSION_END,2,648,1054,0,61.48007590132827
E2,HIT,30,2,378,1502,284,25.166444740346204
E2,HIT,60,2,478,1502,508,31.824234354194406
E2,CAPTURE,SESSION_END,3,470,761,0,61.76084099868594
E2,HIT,30,3,222,1502,312,14.78029294274301
E2,HIT,60,3,303,1502,579,20.173102529960055
E2,CAPTURE,SESSION_END,4,351,544,0,64.5220588235294
E2,HIT,30,4,126,1502,327,8.388814913448735
E2,HIT,60,4,203,1502,619,13.515312916111851
E2,CAPTURE,SESSION_END,5,260,408,0,63.72549019607843
E2,HIT,30,5,89,1502,334,5.9254327563249
E2,HIT,60,5,142,1502,635,9.454061251664447
E3,CAPTURE,SESSION_END,1,1025,1496,0,68.51604278074866
E3,HIT,30,1,756,1555,217,48.61736334405145
E3,HIT,60,1,887,1555,339,57.041800643086816
E3,CAPTURE,SESSION_END,2,729,1054,0,69.16508538899431
E3,HIT,30,2,413,1555,267,26.559485530546624
E3,HIT,60,2,533,1555,470,34.27652733118971
E3,CAPTURE,SESSION_END,3,515,761,0,67.67411300919842
E3,HIT,30,3,227,1555,294,14.59807073954984
E3,HIT,60,3,324,1555,552,20.836012861736336
E3,CAPTURE,SESSION_END,4,389,544,0,71.50735294117646
E3,HIT,30,4,136,1555,305,8.745980707395498
E3,HIT,60,4,218,1555,589,14.019292604501608
E3,CAPTURE,SESSION_END,5,279,408,0,68.38235294117646
E3,HIT,30,5,83,1555,312,5.337620578778135
E3,HIT,60,5,141,1555,611,9.067524115755628
E4,CAPTURE,SESSION_END,1,843,1496,0,56.350267379679146
E4,HIT,30,1,613,1422,277,43.10829817158931
E4,HIT,60,1,730,1422,390,51.33614627285513
E4,CAPTURE,SESSION_END,2,559,1054,0,53.036053130929794
E4,HIT,30,2,319,1422,344,22.433192686357245
E4,HIT,60,2,418,1422,530,29.39521800281294
E4,CAPTURE,SESSION_END,3,395,761,0,51.9053876478318
E4,HIT,30,3,191,1422,366,13.431786216596343
E4,HIT,60,3,262,1422,592,18.424753867791843
E4,CAPTURE,SESSION_END,4,291,544,0,53.49264705882353
E4,HIT,30,4,114,1422,376,8.016877637130802
E4,HIT,60,4,172,1422,628,12.09563994374121
E4,CAPTURE,SESSION_END,5,221,408,0,54.166666666666664
E4,HIT,30,5,78,1422,383,5.485232067510548
E4,HIT,60,5,121,1422,642,8.509142053445851
E5,CAPTURE,SESSION_END,1,1087,1496,0,72.66042780748663
E5,HIT,30,1,794,1645,251,48.26747720364742
E5,HIT,60,1,936,1645,374,56.89969604863222
E5,CAPTURE,SESSION_END,2,771,1054,0,73.14990512333966
E5,HIT,30,2,424,1645,316,25.775075987841944
E5,HIT,60,2,561,1645,522,34.10334346504559
E5,CAPTURE,SESSION_END,3,546,761,0,71.74770039421813
E5,HIT,30,3,234,1645,345,14.224924012158056
E5,HIT,60,3,346,1645,614,21.033434650455927
E5,CAPTURE,SESSION_END,4,414,544,0,76.1029411764706
E5,HIT,30,4,138,1645,359,8.389057750759878
E5,HIT,60,4,233,1645,658,14.164133738601823
E5,CAPTURE,SESSION_END,5,304,408,0,74.50980392156863
E5,HIT,30,5,83,1645,366,5.045592705167174
E5,HIT,60,5,152,1645,683,9.240121580547113
E6,CAPTURE,SESSION_END,1,1078,1496,0,72.05882352941177
E6,HIT,30,1,790,1643,255,48.08277541083384
E6,HIT,60,1,930,1643,381,56.60377358490566
E6,CAPTURE,SESSION_END,2,759,1054,0,72.01138519924099
E6,HIT,30,2,420,1643,323,25.562994522215458
E6,HIT,60,2,550,1643,532,33.475349969567866
E6,CAPTURE,SESSION_END,3,534,761,0,70.17082785808147
E6,HIT,30,3,235,1643,353,14.30310407790627
E6,HIT,60,3,340,1643,628,20.693852708460135
E6,CAPTURE,SESSION_END,4,408,544,0,75.0
E6,HIT,30,4,139,1643,366,8.460133901399878
E6,HIT,60,4,230,1643,671,13.99878271454656
E6,CAPTURE,SESSION_END,5,299,408,0,73.2843137254902
E6,HIT,30,5,86,1643,375,5.234327449786975
E6,HIT,60,5,154,1643,697,9.373097991479002
E7,CAPTURE,SESSION_END,1,1053,1496,0,70.38770053475936
E7,HIT,30,1,771,1630,270,47.30061349693251
E7,HIT,60,1,908,1630,395,55.70552147239264
E7,CAPTURE,SESSION_END,2,753,1054,0,71.44212523719165
E7,HIT,30,2,415,1630,338,25.460122699386503
E7,HIT,60,2,548,1630,536,33.61963190184049
E7,CAPTURE,SESSION_END,3,534,761,0,70.17082785808147
E7,HIT,30,3,235,1630,367,14.417177914110429
E7,HIT,60,3,342,1630,627,20.98159509202454
E7,CAPTURE,SESSION_END,4,407,544,0,74.81617647058823
E7,HIT,30,4,136,1630,382,8.343558282208589
E7,HIT,60,4,230,1630,669,14.110429447852761
E7,CAPTURE,SESSION_END,5,298,408,0,73.03921568627452
E7,HIT,30,5,87,1630,389,5.337423312883436
E7,HIT,60,5,153,1630,691,9.386503067484663
