field,value,full,primary,excluded,primaryRate
firstClosedDip,False,1327,550,777,0.41446872645064053
firstClosedDip,None,836,0,836,0.0
firstClosedDip,True,580,328,252,0.5655172413793104
timeOfDay,09:30,380,264,116,0.6947368421052632
timeOfDay,10:00,356,181,175,0.5084269662921348
timeOfDay,10:30,312,139,173,0.44551282051282054
timeOfDay,11:00,287,0,287,0.0
timeOfDay,11:30,262,0,262,0.0
timeOfDay,13:00,254,125,129,0.4921259842519685
timeOfDay,13:30,246,96,150,0.3902439024390244
timeOfDay,14:00,219,73,146,0.3333333333333333
timeOfDay,14:30,227,0,227,0.0
timeOfDay,15:00,200,0,200,0.0
segment,GROWTH,1198,421,777,0.35141903171953254
segment,PRIME,206,111,95,0.5388349514563107
segment,STANDARD,1339,346,993,0.25840179238237493
