cohort,policy,upsideBin,downsideBin,count
ALL,IMMEDIATE,U0,D0,59
ALL,IMMEDIATE,U0,D1,95
ALL,IMMEDIATE,U0,D2,153
ALL,IMMEDIATE,U0,D3,37
ALL,IMMEDIATE,U0,D4,12
ALL,IMMEDIATE,U1,D0,89
ALL,IMMEDIATE,U1,D1,51
ALL,IMMEDIATE,U1,D2,43
ALL,IMMEDIATE,U1,D3,9
ALL,IMMEDIATE,U1,D4,3
ALL,IMMEDIATE,U2,D0,71
ALL,IMMEDIATE,U2,D1,19
ALL,IMMEDIATE,U2,D2,27
ALL,IMMEDIATE,U2,D3,5
ALL,IMMEDIATE,U2,D4,2
ALL,IMMEDIATE,U3,D0,63
ALL,IMMEDIATE,U3,D1,17
ALL,IMMEDIATE,U3,D2,28
ALL,IMMEDIATE,U3,D3,5
ALL,IMMEDIATE,U4,D0,62
ALL,IMMEDIATE,U4,D1,15
ALL,IMMEDIATE,U4,D2,8
ALL,IMMEDIATE,U4,D3,3
ALL,IMMEDIATE,U4,D4,2
ALL,WAIT5,U0,D0,76
ALL,WAIT5,U0,D1,95
ALL,WAIT5,U0,D2,140
ALL,WAIT5,U0,D3,33
ALL,WAIT5,U0,D4,11
ALL,WAIT5,U1,D0,110
ALL,WAIT5,U1,D1,61
ALL,WAIT5,U1,D2,49
ALL,WAIT5,U1,D3,6
ALL,WAIT5,U1,D4,3
ALL,WAIT5,U2,D0,46
ALL,WAIT5,U2,D1,22
ALL,WAIT5,U2,D2,30
ALL,WAIT5,U2,D3,7
ALL,WAIT5,U2,D4,1
ALL,WAIT5,U3,D0,58
ALL,WAIT5,U3,D1,26
ALL,WAIT5,U3,D2,23
ALL,WAIT5,U3,D3,5
ALL,WAIT5,U4,D0,49
ALL,WAIT5,U4,D1,11
ALL,WAIT5,U4,D2,11
ALL,WAIT5,U4,D3,4
ALL,WAIT5,U4,D4,1
ALL,WAIT10,U0,D0,97
ALL,WAIT10,U0,D1,102
ALL,WAIT10,U0,D2,154
ALL,WAIT10,U0,D3,30
ALL,WAIT10,U0,D4,11
ALL,WAIT10,U1,D0,98
ALL,WAIT10,U1,D1,53
ALL,WAIT10,U1,D2,42
ALL,WAIT10,U1,D3,4
ALL,WAIT10,U2,D0,52
ALL,WAIT10,U2,D1,28
ALL,WAIT10,U2,D2,19
ALL,WAIT10,U2,D3,7
ALL,WAIT10,U3,D0,50
ALL,WAIT10,U3,D1,17
ALL,WAIT10,U3,D2,24
ALL,WAIT10,U3,D3,6
ALL,WAIT10,U4,D0,59
ALL,WAIT10,U4,D1,9
ALL,WAIT10,U4,D2,7
ALL,WAIT10,U4,D3,6
ALL,WAIT10,U4,D4,3
ALL,DIP_CLOSE_FALLBACK10,U0,D0,86
ALL,DIP_CLOSE_FALLBACK10,U0,D1,103
ALL,DIP_CLOSE_FALLBACK10,U0,D2,138
ALL,DIP_CLOSE_FALLBACK10,U0,D3,31
ALL,DIP_CLOSE_FALLBACK10,U0,D4,11
ALL,DIP_CLOSE_FALLBACK10,U1,D0,98
ALL,DIP_CLOSE_FALLBACK10,U1,D1,62
ALL,DIP_CLOSE_FALLBACK10,U1,D2,46
ALL,DIP_CLOSE_FALLBACK10,U1,D3,7
ALL,DIP_CLOSE_FALLBACK10,U2,D0,50
ALL,DIP_CLOSE_FALLBACK10,U2,D1,29
ALL,DIP_CLOSE_FALLBACK10,U2,D2,22
ALL,DIP_CLOSE_FALLBACK10,U2,D3,8
ALL,DIP_CLOSE_FALLBACK10,U3,D0,57
ALL,DIP_CLOSE_FALLBACK10,U3,D1,19
ALL,DIP_CLOSE_FALLBACK10,U3,D2,27
ALL,DIP_CLOSE_FALLBACK10,U3,D3,4
ALL,DIP_CLOSE_FALLBACK10,U4,D0,53
ALL,DIP_CLOSE_FALLBACK10,U4,D1,7
ALL,DIP_CLOSE_FALLBACK10,U4,D2,13
ALL,DIP_CLOSE_FALLBACK10,U4,D3,5
ALL,DIP_CLOSE_FALLBACK10,U4,D4,2
ALL,OBSERVE5_DELAY_DIP10,U0,D0,87
ALL,OBSERVE5_DELAY_DIP10,U0,D1,94
ALL,OBSERVE5_DELAY_DIP10,U0,D2,156
ALL,OBSERVE5_DELAY_DIP10,U0,D3,32
ALL,OBSERVE5_DELAY_DIP10,U0,D4,11
ALL,OBSERVE5_DELAY_DIP10,U1,D0,110
ALL,OBSERVE5_DELAY_DIP10,U1,D1,52
ALL,OBSERVE5_DELAY_DIP10,U1,D2,45
ALL,OBSERVE5_DELAY_DIP10,U1,D3,3
ALL,OBSERVE5_DELAY_DIP10,U1,D4,3
ALL,OBSERVE5_DELAY_DIP10,U2,D0,48
ALL,OBSERVE5_DELAY_DIP10,U2,D1,21
ALL,OBSERVE5_DELAY_DIP10,U2,D2,27
ALL,OBSERVE5_DELAY_DIP10,U2,D3,6
ALL,OBSERVE5_DELAY_DIP10,U2,D4,1
ALL,OBSERVE5_DELAY_DIP10,U3,D0,51
ALL,OBSERVE5_DELAY_DIP10,U3,D1,24
ALL,OBSERVE5_DELAY_DIP10,U3,D2,20
ALL,OBSERVE5_DELAY_DIP10,U3,D3,7
ALL,OBSERVE5_DELAY_DIP10,U4,D0,55
ALL,OBSERVE5_DELAY_DIP10,U4,D1,13
ALL,OBSERVE5_DELAY_DIP10,U4,D2,5
ALL,OBSERVE5_DELAY_DIP10,U4,D3,5
ALL,OBSERVE5_DELAY_DIP10,U4,D4,2
COMMON60_NON1_OBSERVED,IMMEDIATE,U0,D0,43
COMMON60_NON1_OBSERVED,IMMEDIATE,U0,D1,79
COMMON60_NON1_OBSERVED,IMMEDIATE,U0,D2,136
COMMON60_NON1_OBSERVED,IMMEDIATE,U0,D3,36
COMMON60_NON1_OBSERVED,IMMEDIATE,U0,D4,12
COMMON60_NON1_OBSERVED,WAIT5,U0,D0,40
COMMON60_NON1_OBSERVED,WAIT5,U0,D1,61
COMMON60_NON1_OBSERVED,WAIT5,U0,D2,81
COMMON60_NON1_OBSERVED,WAIT5,U0,D3,17
COMMON60_NON1_OBSERVED,WAIT5,U0,D4,6
COMMON60_NON1_OBSERVED,WAIT5,U1,D0,24
COMMON60_NON1_OBSERVED,WAIT5,U1,D1,26
COMMON60_NON1_OBSERVED,WAIT5,U1,D2,17
COMMON60_NON1_OBSERVED,WAIT5,U1,D3,2
COMMON60_NON1_OBSERVED,WAIT5,U2,D0,3
COMMON60_NON1_OBSERVED,WAIT5,U2,D1,6
COMMON60_NON1_OBSERVED,WAIT5,U2,D2,6
COMMON60_NON1_OBSERVED,WAIT5,U2,D3,4
COMMON60_NON1_OBSERVED,WAIT5,U3,D0,4
COMMON60_NON1_OBSERVED,WAIT5,U3,D2,1
