cohort,policy,horizonMinutes,metric,ES95,max,mean,median,min,n,negativeRate,p05,p10,p25,p75,p90,p95,positiveRate,zeroRate
ALL,DIP_CLOSE_FALLBACK10,5,upside,6.503204343037451,14.28571428571428,0.9358410902163741,0.4484395109395134,0.0,878,0.0,0.0,0.0,0.0,1.085666661147272,2.189395304149387,3.742590885142258,0.7266514806378133,0.2733485193621868
ALL,DIP_CLOSE_FALLBACK10,5,downside,6.305017081823329,31.25,0.9648956987280597,0.5018891687657512,0.0,878,0.0,0.0,0.0,0.0,1.2048192771084376,2.216482164821652,3.389491826677075,0.7357630979498861,0.2642369020501139
ALL,DIP_CLOSE_FALLBACK10,10,upside,7.7812595559852324,14.28571428571428,1.2884304166597051,0.7351439963490414,0.0,878,0.0,0.0,0.0,0.1928354836610524,1.5818195992827633,2.99428150542695,4.536693465264885,0.7949886104783599,0.20501138952164008
ALL,DIP_CLOSE_FALLBACK10,10,downside,7.69671673898627,31.25,1.3541468895122852,0.7974562798092333,0.0,878,0.0,0.0,0.0,0.21380393368345407,1.7508242764684379,3.2863863150392074,4.330442962902367,0.8200455580865603,0.17995444191343962
ALL,DIP_CLOSE_FALLBACK10,15,upside,8.730401336139275,20.099009900990094,1.5625181849357481,0.9217304375653157,0.0,878,0.0,0.0,0.0,0.3190597969257858,2.019711700573218,3.8052919728376686,5.263157894736836,0.8337129840546698,0.1662870159453303
ALL,DIP_CLOSE_FALLBACK10,15,downside,8.362360632171042,31.25,1.5543351375106282,0.9600024576062904,0.0,878,0.0,0.0,0.0,0.3108008745960761,1.951357466063347,3.5722989439480104,5.012250453720511,0.8451025056947609,0.1548974943052392
ALL,DIP_CLOSE_FALLBACK10,30,upside,10.750376236544973,32.47524752475248,2.0542464287413185,1.2400371836419954,0.0,878,0.0,0.0,0.0,0.5161316169008057,2.508114560827152,4.768627450980397,6.533960970816063,0.8815489749430524,0.11845102505694761
ALL,DIP_CLOSE_FALLBACK10,30,downside,9.112159959366442,31.25,1.9834788176830624,1.4147333151719732,0.0,878,0.0,0.0,0.0,0.5665958451369218,2.664876906966715,4.186507936507938,5.989378880258357,0.8917995444191344,0.1082004555808656
ALL,DIP_CLOSE_FALLBACK10,60,upside,13.954346057275798,32.47524752475248,2.611954035318356,1.6055045871559592,0.0,695,0.0,0.0,0.01045205121504204,0.6900702371661849,3.276700235612251,5.684204623515719,8.73180602560764,0.8992805755395683,0.10071942446043165
ALL,DIP_CLOSE_FALLBACK10,60,downside,10.878371868652996,31.25,2.5850308710360257,1.8867924528301883,0.0,695,0.0,0.0,0.17391620511204575,0.8119451525006594,3.508771929824561,5.560707539069217,7.560374603852865,0.9237410071942446,0.07625899280575539
ALL,IMMEDIATE,5,upside,6.098213413066097,12.765957446808528,1.0104941948625976,0.5437433787479407,0.0,878,0.0,0.0,0.0,0.0,1.2683926578515747,2.4518825935281985,3.3910646700674594,0.7414578587699316,0.25854214123006836
ALL,IMMEDIATE,5,downside,6.339242602599797,19.999999999999996,1.0615995941621994,0.5940617353660804,0.0,878,0.0,0.0,0.0,0.05569013014153912,1.3556085033792882,2.4286770140428726,3.6003316749585434,0.7562642369020501,0.2437357630979499
ALL,IMMEDIATE,10,upside,8.52287251842842,14.28571428571428,1.4835987677386933,0.8602190321148395,0.0,878,0.0,0.0,0.0,0.20768499308437272,1.9059998349426455,3.456737888724339,5.000000000000004,0.8097949886104784,0.19020501138952164
ALL,IMMEDIATE,10,downside,7.681453678724264,19.999999999999996,1.4426552045995915,0.9215537177864996,0.0,878,0.0,0.0,0.0,0.2670976912671652,1.8995407041700219,3.306251706251709,4.582062878039587,0.8200455580865603,0.17995444191343962
ALL,IMMEDIATE,15,upside,9.94914418797503,18.95131086142321,1.7432250287086442,1.0045122197326783,0.0,878,0.0,0.0,0.0,0.3076962078264356,2.2632046724225474,4.120662460567828,5.695852534562208,0.8314350797266514,0.16856492027334852
ALL,IMMEDIATE,15,downside,9.144683292122247,35.29411764705882,1.7305428400320295,1.1233701555366349,0.0,878,0.0,0.0,0.0,0.39948943653497215,2.2296626984127017,3.8461538461538436,5.313113094107971,0.8485193621867881,0.15148063781321183
ALL,IMMEDIATE,30,upside,12.021159400306585,32.869910625620655,2.2525995616540233,1.4040154150937845,0.0,878,0.0,0.0,0.0,0.5035986813758386,2.736612702366137,5.000000000000004,8.169059421876012,0.8724373576309795,0.1275626423690205
