panel,cohort,N,policy,levelPct,preserved,knownLost,unknown,boundaryNoReferenceEntry,originalKnownWinners,originalUnknown,preservationLower,preservationUpper
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,IMMEDIATE,1,560,73,0,0,633,0,0.8846761453396524,0.8846761453396524
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,IMMEDIATE,2,389,51,0,0,440,0,0.884090909090909,0.884090909090909
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,IMMEDIATE,3,261,35,0,0,296,0,0.8817567567567568,0.8817567567567568
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,IMMEDIATE,5,118,23,0,0,141,0,0.8368794326241135,0.8368794326241135
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT5,1,500,133,0,0,633,0,0.7898894154818326,0.7898894154818326
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT5,2,311,129,0,0,440,0,0.7068181818181818,0.7068181818181818
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT5,3,203,93,0,0,296,0,0.6858108108108109,0.6858108108108109
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT5,5,89,52,0,0,141,0,0.6312056737588653,0.6312056737588653
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT10,1,448,185,0,0,633,0,0.707740916271722,0.707740916271722
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT10,2,280,160,0,0,440,0,0.6363636363636364,0.6363636363636364
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT10,3,183,113,0,0,296,0,0.6182432432432432,0.6182432432432432
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,WAIT10,5,87,54,0,0,141,0,0.6170212765957447,0.6170212765957447
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,1,463,170,0,0,633,0,0.731437598736177,0.731437598736177
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,2,289,151,0,0,440,0,0.6568181818181819,0.6568181818181819
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,3,189,107,0,0,296,0,0.6385135135135135,0.6385135135135135
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,DIP_CLOSE_FALLBACK10,5,87,54,0,0,141,0,0.6170212765957447,0.6170212765957447
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,1,485,148,0,0,633,0,0.7661927330173776,0.7661927330173776
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,2,302,138,0,0,440,0,0.6863636363636364,0.6863636363636364
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,3,197,99,0,0,296,0,0.6655405405405406,0.6655405405405406
PRIMARY_COMMON60_DECISION_PRICE,ALL,878,OBSERVE5_DELAY_DIP10,5,89,52,0,0,141,0,0.6312056737588653,0.6312056737588653
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,1,136,18,0,0,154,0,0.8831168831168831,0.8831168831168831
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,2,85,2,0,0,87,0,0.9770114942528736,0.9770114942528736
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,3,55,1,0,0,56,0,0.9821428571428571,0.9821428571428571
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,IMMEDIATE,5,19,1,0,0,20,0,0.95,0.95
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,1,150,4,0,0,154,0,0.974025974025974,0.974025974025974
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,2,85,2,0,0,87,0,0.9770114942528736,0.9770114942528736
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,3,54,2,0,0,56,0,0.9642857142857143,0.9642857142857143
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT5,5,20,0,0,0,20,0,1.0,1.0
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,1,135,19,0,0,154,0,0.8766233766233766,0.8766233766233766
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,2,76,11,0,0,87,0,0.8735632183908046,0.8735632183908046
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,3,48,8,0,0,56,0,0.8571428571428571,0.8571428571428571
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,WAIT10,5,20,0,0,0,20,0,1.0,1.0
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,1,150,4,0,0,154,0,0.974025974025974,0.974025974025974
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,2,85,2,0,0,87,0,0.9770114942528736,0.9770114942528736
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,3,54,2,0,0,56,0,0.9642857142857143,0.9642857142857143
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,DIP_CLOSE_FALLBACK10,5,20,0,0,0,20,0,1.0,1.0
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,1,135,19,0,0,154,0,0.8766233766233766,0.8766233766233766
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,2,76,11,0,0,87,0,0.8735632183908046,0.8735632183908046
PRIMARY_COMMON60_DECISION_PRICE,FIRST_CLOSED_DIP,328,OBSERVE5_DELAY_DIP10,3,48,8,0,0,56,0,0.8571428571428571,0.8571428571428571
