name,value,operator,limit,status
chronologicalPositiveSpearmanFolds,3,>=,3,PASS
chronologicalPooledMseSkill,0.0025043736726956256,>,0.0,PASS
symbolPositiveSpearmanGroups,3,>=,3,PASS
symbolPooledMseSkill,0.004531829584924041,>,0.0,PASS
top2RemovedChronologicalSpearman,0.020968523870601816,>,0.0,PASS
top2RemovedChronologicalMseSkill,0.0014632025156663397,>,0.0,PASS
positiveBandMeanQUplift,0.07271463667040215,>,0.0,PASS
positiveBandMeanD30Ratio,1.2100362532617104,<=,1.0,FAIL
v1AnchorWinnerRetention3,0.8170731707317073,>=,0.9,FAIL
v1AnchorWinnerRetention5,0.7659574468085106,>=,0.9,FAIL
v1AnchorScoreBandThroughput,0.8879310344827587,>=,0.8,PASS
absoluteTargetCoverageGapMax,0.02723516720604091,<=,0.05,PASS
absoluteD30CoverageGapMax,0.04707766990291262,<=,0.05,PASS
