opportunity,session,symbol,selectorTime,asOf,elapsedActiveMinutes,observation,observed1m,missing1m,direction,return5Pct,scaleStatus,scale,dailyComplete5,structure,phase,attributes,stateReason,futureStatus,futureMissing,lateConfirmedPivots,pivotN,localRange,sameBarOrderAmbiguities,closedCrossEvents,semanticAny,contextPriceBasis,transitionObservablePair,phaseChanged
2025-08-08|155A0,2025-08-08,155A0,11:00,11:00,0,COMPLETE,5,0,DOWN,-0.8939974457215837,AVAILABLE,6.0,True,,RECOVERY,RANGE_EXPANSION|VOLUME_EXPANSION|TRADING_VALUE_EXPANSION,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,1,2,False,0,1,True,INHERITED_RAW_PRICE_BASIS,False,False
2025-08-08|155A0,2025-08-08,155A0,11:00,11:05,5,COMPLETE,5,0,UP,0.3870967741935484,AVAILABLE,6.0,True,,RECOVERY,CHOPPINESS|RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,2,False,0,0,True,INHERITED_RAW_PRICE_BASIS,True,False
2025-08-08|155A0,2025-08-08,155A0,11:00,11:10,10,PARTIAL,4,1,,,AVAILABLE,6.0,True,,,,CURRENT_BAR_UNAVAILABLE,WINDOW_OBSERVED,0,0,0,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-08-08|155A0,2025-08-08,155A0,11:00,11:15,15,COMPLETE,5,0,UP,1.6666666666666667,AVAILABLE,6.0,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,2,False,0,0,False,INHERITED_RAW_PRICE_BASIS,False,False
2025-08-08|155A0,2025-08-08,155A0,11:00,11:20,20,COMPLETE,5,0,DOWN,-0.759493670886076,AVAILABLE,6.0,True,,,RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,2,False,1,1,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-08-08|155A0,2025-08-08,155A0,11:00,11:25,25,COMPLETE,5,0,UNCHANGED,0.0,AVAILABLE,6.0,True,,,CHOPPINESS|RANGE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,2,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-08-08|155A0,2025-08-08,155A0,11:00,11:30,30,COMPLETE,5,0,DOWN,-0.2554278416347382,AVAILABLE,6.0,True,,,RANGE_COMPRESSION|VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,0,2,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-08-08|155A0,2025-08-08,155A0,11:00,12:35,35,COMPLETE,5,0,UNCHANGED,0.0,AVAILABLE,6.0,True,,,,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,1,False,0,0,False,INHERITED_RAW_PRICE_BASIS,True,False
2025-08-08|155A0,2025-08-08,155A0,11:00,12:40,40,COMPLETE,5,0,DOWN,-0.2557544757033248,AVAILABLE,6.0,True,,RECOVERY,VOLUME_COMPRESSION|TRADING_VALUE_COMPRESSION,UNRESOLVED_STRUCTURE,WINDOW_OBSERVED,0,1,3,False,0,0,True,INHERITED_RAW_PRICE_BASIS,True,True
2025-08-08|155A0,2025-08-08,155A0,11:00,12:45,45,COMPLETE,5,0,UP,0.8974358974358975,AVAILABLE,6.0,True,,,,UNRESOLVED_STRUCTURE,OBSERVATION_INSUFFICIENT,1,0,3,False,2,3,False,INHERITED_RAW_PRICE_BASIS,True,True
