opportunity,session,selectionTime,path,reason,gateMask,rows,remainingActive,missingRegular,fullSessionEvaluable,terminalAuctionObserved,nearMorningEnd,nearAfternoonEnd,crossesLunch
2025-05-30|17580,2025-05-30,13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,3,115,113,True,True,False,False,False
2025-05-30|21960,2025-05-30,11:00,MULTI_SWING_CHOP,,NONE,205,205,2,True,True,True,False,True
2025-05-30|23880,2025-05-30,11:00,PULLBACK_RECOVERY,,NONE,37,205,169,True,True,True,False,True
2025-05-30|24590,2025-05-30,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,56,145,90,True,True,False,False,False
2025-05-30|26730,2025-05-30,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,14,25,12,True,True,False,True,False
2025-05-30|29620,2025-05-30,11:00,MULTI_SWING_CHOP,,NONE,96,205,111,True,True,True,False,True
2025-05-30|31600,2025-05-30,13:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,56,145,90,True,True,False,False,False
2025-05-30|330A0,2025-05-30,10:00,MULTI_SWING_CHOP,,NONE,251,265,15,True,True,False,False,True
2025-05-30|33500,2025-05-30,13:30,MULTI_SWING_CHOP,,NONE,116,115,0,True,True,False,False,False
2025-05-30|338A0,2025-05-30,09:30,MULTI_SWING_CHOP,,NONE,228,295,68,True,True,False,False,True
2025-05-30|36390,2025-05-30,13:00,PULLBACK_RECOVERY,,NONE,79,145,67,True,True,False,False,False
2025-05-30|36800,2025-05-30,09:30,MULTI_SWING_CHOP,,NONE,277,295,20,True,True,False,False,True
2025-05-30|39300,2025-05-30,13:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,10,115,106,True,True,False,False,False
2025-05-30|39330,2025-05-30,15:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20|REMAINING_LT30,3,25,23,True,True,False,True,False
2025-05-30|39670,2025-05-30,10:00,PULLBACK_RECOVERY,,NONE,161,265,106,True,True,False,False,True
2025-05-30|40760,2025-05-30,14:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,14,85,72,True,True,False,False,False
2025-05-30|44360,2025-05-30,11:30,MULTI_SWING_CHOP,,NONE,174,175,2,True,True,True,False,False
2025-05-30|45720,2025-05-30,11:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,63,175,113,True,True,True,False,False
2025-05-30|45840,2025-05-30,10:30,MULTI_SWING_CHOP,,NONE,202,235,35,True,True,False,False,True
2025-05-30|45920,2025-05-30,10:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,267,265,0,True,True,False,False,True
2025-05-30|48890,2025-05-30,10:30,MULTI_SWING_CHOP,,NONE,227,235,10,True,True,False,False,True
2025-05-30|56120,2025-05-30,09:30,PULLBACK_RECOVERY,,NONE,195,295,102,True,True,False,False,True
2025-05-30|60850,2025-05-30,10:00,PULLBACK_RECOVERY,,NONE,65,265,202,True,True,False,False,True
2025-05-30|61770,2025-05-30,09:30,MULTI_SWING_CHOP,,NONE,168,295,129,True,True,False,False,True
2025-05-30|65210,2025-05-30,09:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,288,295,9,True,True,False,False,True
