selectionTime,path,reason,gateMask,n
09:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,2
09:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,3
09:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,34
09:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,24
09:30,CONSOLIDATION_BREAKOUT,,NONE,1
09:30,DIRECT_CONTINUATION,,NONE,2
09:30,MULTI_SWING_CHOP,,NONE,196
09:30,PERSISTENT_WEAKNESS,,NONE,3
09:30,PULLBACK_RECOVERY,,NONE,25
10:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,2
10:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,11
10:00,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,52
10:00,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,16
10:00,CONSOLIDATION_BREAKOUT,,NONE,2
10:00,DIRECT_CONTINUATION,,NONE,9
10:00,MULTI_SWING_CHOP,,NONE,138
10:00,PERSISTENT_WEAKNESS,,NONE,11
10:00,PULLBACK_RECOVERY,,NONE,29
10:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE,1
10:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,6
10:30,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,ROWS_LT20,23
10:30,AMBIGUOUS_INSUFFICIENT,NO_DOMINANT_PATH,NONE,32
10:30,AMBIGUOUS_INSUFFICIENT,TRUE_MIXED_PATH,NONE,19
10:30,DIRECT_CONTINUATION,,NONE,4
10:30,MULTI_SWING_CHOP,,NONE,120
10:30,PERSISTENT_WEAKNESS,,NONE,1
10:30,PULLBACK_RECOVERY,,NONE,33
11:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE,1
11:00,AMBIGUOUS_INSUFFICIENT,INSUFFICIENT_OBSERVATION,INHERITED_FULL_UNAVAILABLE|ROWS_LT20,7
