sessionDate,exposure,selectorEvents,firstEntryCandidates,ENTER,entryLabelable,entryUnlabelable,precision1Pct,precision2Pct,precision3Pct,precision5Pct,preserved1,preserved2,preserved3,preserved5
2024-09-17,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,40,3,0,3,,,,,0,0,0,0
2024-09-18,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,31,4,1,3,100.0,100.0,100.0,100.0,1,1,1,1
2024-09-19,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,3,2,1,100.0,100.0,100.0,50.0,2,2,2,1
2024-09-20,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,31,5,2,3,100.0,100.0,100.0,50.0,2,2,2,1
2024-09-24,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,41,3,2,1,50.0,50.0,50.0,0.0,1,1,1,0
2024-09-25,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,2,1,1,100.0,100.0,100.0,100.0,1,1,1,1
2024-09-26,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,0,0,0,,,,,0,0,0,0
2024-09-27,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,2,1,1,100.0,100.0,100.0,0.0,2,2,2,1
2024-09-30,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,3,3,0,100.0,100.0,66.66666666666667,66.66666666666667,2,2,1,1
2024-10-01,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,34,3,2,1,100.0,50.0,0.0,0.0,2,1,0,0
2024-10-02,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,4,3,1,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336,2,2,2,2
2024-10-03,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,39,1,0,1,,,,,0,0,0,0
2024-10-04,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,2,0,2,,,,,0,0,0,0
2024-10-07,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,3,2,1,50.0,50.0,50.0,50.0,0,0,0,0
2024-10-08,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,3,2,1,100.0,50.0,50.0,50.0,2,1,1,1
2024-10-09,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,4,1,3,100.0,100.0,0.0,0.0,1,1,0,0
2024-10-10,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,33,3,3,0,100.0,66.66666666666667,33.333333333333336,0.0,3,2,1,0
2024-10-11,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,32,3,1,2,100.0,0.0,0.0,0.0,0,0,0,0
2024-10-15,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,35,2,0,2,,,,,0,0,0,0
2024-10-16,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,3,1,2,100.0,100.0,0.0,0.0,1,1,0,0
2024-10-17,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,35,2,1,1,100.0,100.0,100.0,100.0,1,1,1,1
2024-10-18,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,34,2,1,1,100.0,100.0,0.0,0.0,1,1,0,0
2024-10-21,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,40,3,1,2,100.0,100.0,0.0,0.0,1,1,0,0
2024-10-22,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,4,2,2,100.0,100.0,0.0,0.0,4,4,3,2
2024-10-23,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,2,1,1,100.0,100.0,0.0,0.0,1,1,0,0
2024-10-24,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,34,2,1,1,100.0,100.0,100.0,0.0,1,1,1,0
2024-10-25,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,3,2,1,100.0,100.0,0.0,0.0,2,2,0,0
2024-10-28,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,33,5,2,3,100.0,100.0,100.0,100.0,2,2,1,1
2024-10-29,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,40,2,2,0,100.0,100.0,100.0,50.0,2,2,2,1
2024-10-30,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,43,3,2,1,0.0,0.0,0.0,0.0,0,0,0,0
2024-10-31,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,4,4,0,75.0,50.0,25.0,25.0,3,2,1,1
2024-11-01,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,40,2,1,1,100.0,0.0,0.0,0.0,1,0,0,0
2024-11-05,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,37,3,1,2,100.0,100.0,100.0,0.0,1,1,1,0
2024-11-06,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,41,3,2,1,100.0,50.0,50.0,50.0,2,1,1,1
2024-11-07,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,39,8,4,4,100.0,75.0,75.0,25.0,3,3,3,1
2024-11-08,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,9,6,3,83.33333333333333,66.66666666666667,50.0,16.666666666666668,4,3,2,1
2024-11-11,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,41,3,2,1,100.0,50.0,50.0,50.0,2,1,1,1
2024-11-12,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,42,4,2,2,100.0,50.0,0.0,0.0,2,1,0,0
2024-11-13,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,35,7,6,1,66.66666666666667,66.66666666666667,50.0,33.333333333333336,4,4,3,2
2024-11-14,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,41,11,7,4,85.71428571428571,42.857142857142854,28.571428571428573,14.285714285714286,6,3,2,1
2024-11-15,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,6,5,1,80.0,60.0,20.0,20.0,4,3,1,1
2024-11-18,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,41,3,2,1,100.0,100.0,50.0,50.0,2,2,1,1
2024-11-19,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,4,2,2,50.0,50.0,50.0,50.0,1,1,1,1
2024-11-20,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,40,4,4,0,75.0,75.0,75.0,50.0,2,2,2,2
2024-11-21,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,29,2,1,1,100.0,100.0,100.0,100.0,1,1,1,1
2024-11-22,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,34,4,4,0,100.0,100.0,75.0,50.0,4,3,3,2
2024-11-25,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,34,2,2,0,100.0,100.0,100.0,100.0,2,2,2,2
2024-11-26,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,33,4,3,1,100.0,100.0,66.66666666666667,33.333333333333336,3,3,2,1
2024-11-27,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,35,7,6,1,100.0,83.33333333333333,50.0,16.666666666666668,6,5,3,1
2024-11-28,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,31,5,5,0,60.0,60.0,60.0,20.0,2,2,2,1
2024-11-29,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,38,5,4,1,100.0,100.0,50.0,25.0,4,4,2,1
2024-12-02,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,35,4,2,2,100.0,100.0,50.0,0.0,2,2,1,0
2024-12-03,IN_SAMPLE_DEVELOPMENT_EXPOSED,50,36,6,5,1,80.0,80.0,60.0,20.0,4,4,4,1
