scope,threshold,gate,status,values
chrono-1,1,precision1RatioMin,INCONCLUSIVE,"{""baseline"": 0.8, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-1,1,precision2RatioMin,INCONCLUSIVE,"{""baseline"": 0.6, ""candidate"": null, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-1,1,winnerRetention3Min,FAIL,"{""candidate"": 0.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention3Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-1,1,winnerRetention5Min,FAIL,"{""candidate"": 0.0, ""denominator"": 2, ""limit"": 0.9, ""name"": ""winnerRetention5Min"", ""numerator"": 0, ""operator"": "">="", ""status"": ""FAIL""}"
chrono-1,1,adverseMeanRatioMax,INCONCLUSIVE,"{""baseline"": 1.5305505213289927, ""candidate"": null, ""limit"": 0.9, ""name"": ""adverseMeanRatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-1,1,adverseES95RatioMax,INCONCLUSIVE,"{""baseline"": 2.626970227670755, ""candidate"": null, ""limit"": 1.0, ""name"": ""adverseES95RatioMax"", ""operator"": ""<="", ""ratio"": null, ""reason"": ""METRIC_UNDEFINED"", ""status"": ""INCONCLUSIVE""}"
chrono-1,1,throughputRatioMin,FAIL,"{""baseline"": 12, ""candidate"": 0, ""limit"": 0.8, ""name"": ""throughputRatioMin"", ""operator"": "">="", ""ratio"": 0.0, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-1,1,absoluteStrictLabelCoverageGapMax,INCONCLUSIVE,"{""acceptedCoverage"": null, ""baseline"": 0.4166666666666667, ""candidate"": null, ""limit"": 0.05, ""name"": ""absoluteStrictLabelCoverageGapMax"", ""operator"": ""<="", ""status"": ""INCONCLUSIVE""}"
chrono-1,2,precision1RatioMin,FAIL,"{""baseline"": 0.8, ""candidate"": 0.6666666666666666, ""limit"": 0.9, ""name"": ""precision1RatioMin"", ""operator"": "">="", ""ratio"": 0.8333333333333333, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""FAIL""}"
chrono-1,2,precision2RatioMin,PASS,"{""baseline"": 0.6, ""candidate"": 0.6666666666666666, ""limit"": 0.9, ""name"": ""precision2RatioMin"", ""operator"": "">="", ""ratio"": 1.1111111111111112, ""reason"": ""FROZEN_RELATIVE_GATE"", ""status"": ""PASS""}"
