unit,fitAnchors,labelledFitRows,excludedLabels,symbols,symbolSessions,weightSum,largestSymbolWeight,largestSymbolSessionWeight,momentumMissing,pullbackMissing,bothMissing,momentumMedian,pullbackMedian,momentumMean,pullbackMean,momentumStd,pullbackStd,intercept,betaMomentum,betaPullback,betaMomentumMissing,betaPullbackMissing,objective,residualInf,artifactSHA,fileSHA
chrono-1-inner,33,17,16,13,17,1.0,0.07692307692307693,0.07692307692307693,2,4,2,-2.4561403508771895,-11.2,-5.0139944930136515,-11.477061177351029,6.018686948269369,2.4574943446420536,1.7535595635210561,0.2638152534781979,-0.46894058736984345,0.028210023027789497,0.1408151640211431,1.6972282144097126,1.1102230246251565e-16,5b98e70a274bdcad1858bc65a908f82c40d5fbc6a07940b892ec356c4ad04ef8,24e762f3328278b0d835c86c780879417da765fee0db1ba20c9079612e8bb554
chrono-2-inner,63,30,33,24,30,0.9999999999999998,0.041666666666666664,0.041666666666666664,2,5,2,-3.0303030303030276,-11.475409836065575,-4.362402449832047,-12.038002316123881,4.907924219585441,2.8885761042509674,2.3986249210176966,0.04936877409417499,-0.187088589928231,-0.01783552657050986,0.02147413670486383,3.001265930012833,5.551115123125783e-17,f98f3de7de90a7bdc5053e7631743da8509c517ee1b20f04cad0a08f864ce9d7,dac38f358b5e2d32f20f8b364806527a5f1bcbac60ee325ec06466483879f220
chrono-3-inner,96,50,46,38,50,0.9999999999999998,0.02631578947368421,0.02631578947368421,5,11,5,-3.0303030303030276,-11.2,-4.233479891779806,-11.772927590111752,4.510112836475328,2.504335781218969,2.733119946597682,0.009469593467813233,-0.16604845648647595,0.01896814547611115,-0.047754315738857946,2.9057297947247482,1.1102230246251565e-16,2bb09d6a8ce43ec238433e1e77efbd73a640e1d13879218f515741b74a49d7f4,745960c9b2b8d82eea8609c0112dcf5c277a29d26190583f3f6018a216ff063d
chrono-4-inner,157,91,66,70,91,0.9999999999999999,0.014285714285714287,0.014285714285714285,9,20,9,-3.0674846625766916,-11.197511664074655,-3.9150596499362726,-12.104586334293971,3.853913266141132,3.7043564663978983,2.4989933149030574,0.09978765952696061,-0.11369691044981305,0.05462051546096192,0.03014408373867929,3.2250950179051503,5.551115123125783e-17,c79056af7d2887a4bc9c1abb5d41aeb3d17bc415ca3bb01a149893c78c9eaa49,dda791281611ead290fc10dda1003f69eab014327186819747c235c5ba7dd319
symbol-0-fold-1-inner,24,10,14,8,10,1.0,0.125,0.125,1,2,1,-1.6248153618906969,-11.2,-4.91676779567155,-11.520252441700901,6.19274544090501,3.063438327344544,1.4997225489476376,-0.13009364029763523,-0.530900096117858,-0.07691470785682973,0.3030811610337299,1.303704510017846,0.0,a983a3fbccb2d580f3be5cb98d0e5dde62f38600ecbb71d7380e66a91b10cd56,c80243920ad9d9f7fce3df20a26899bd0ddecabc5c1a020c3246349468bca996
symbol-0-fold-2-inner,46,19,27,15,19,1.0,0.06666666666666667,0.06666666666666667,1,3,1,-2.3790642347343405,-11.2,-4.324482588907578,-11.917219729517022,5.015368335891099,3.2119995743954677,2.411875752692168,-0.18300967974554236,0.05617738659232566,-0.09246091508235686,0.11185820188868786,3.3073852024626342,5.551115123125783e-17,598e4a49e32d5971ab2a24a75a58c40b2e6ad1914171d68e8374663954d11817,c57f06985c2d1fbd05c304dd8df36b249e75cf5b666b90d0eb0351e53c8cad9a
symbol-0-fold-3-inner,74,37,37,28,37,0.9999999999999999,0.03571428571428571,0.03571428571428571,4,9,4,-3.0303030303030276,-10.913140311804003,-4.18394079044966,-11.454840106402528,4.462402123374192,2.538902537070635,2.8805378362316088,-0.12684187807783884,-0.07250473688991811,-0.01019966130210988,-0.047357853787774,3.119345878182214,1.1102230246251565e-16,36527e19325ed42e6fadd5fc0ca89be73c22388c2af331c3b84a7f23d3e0274a,e05d198f3c2c76def99fb6270b66cfb21925ca77af514fa6e2d3e57cddd4ed85
symbol-0-fold-4-inner,128,74,54,57,74,1.0,0.017543859649122806,0.017543859649122806,8,18,8,-3.0674846625766916,-10.913140311804003,-3.986154029319769,-11.907517009519859,3.645283587940728,3.863590564181977,2.4786908022832734,-0.08616850756996207,0.060950470481105024,0.053803493886066506,0.049883383825659655,3.174743035952726,5.551115123125783e-17,ea268dae0a00b4f14439b6c5001b82c29fcad10f3157a33cc24f896618ae385c,4bf48456af29ca806fc806c58227301ac6f57ce49d58a216944ecf42f4a989b4
symbol-1-fold-1-inner,19,12,7,10,12,1.0000000000000002,0.1,0.1,2,3,2,-1.6248153618906969,-10.711974110032363,-3.2260126215404865,-10.528771763566045,4.503912527844585,1.3048015904048524,1.356444677305934,0.41146857364993017,-0.11253452381574615,0.09467442613448286,0.07862453389742934,1.21346317547961,5.551115123125783e-17,f798622789d8dbe2574351c4a77de649adb65a4d1d20ee1d09b10709fbaaa610,9110cc56f157e4ac7612a0087c4471bf182788e00954db0e38b94e405c8983e3
symbol-1-fold-2-inner,41,24,17,21,24,0.9999999999999999,0.047619047619047616,0.047619047619047616,2,4,2,-2.4561403508771895,-11.2,-3.4423895819675154,-11.677271967841808,3.752173593167323,2.7017585829193105,2.30548877700929,0.050055445090619655,-0.10129524928019233,-0.006819516522994227,-0.05712869102480981,3.0567267800821223,2.7755575615628914e-17,552f0d9a725a031039e96a5752153b55455517c852bf7d47e334e7e1224646eb,0c31ff49352cec074b087eb765205e2c6080544d18230ca6a3856a1036045421
symbol-1-fold-3-inner,60,38,22,33,38,1.0,0.030303030303030304,0.030303030303030304,4,8,4,-2.635914332784184,-11.182108626198083,-3.552800401485042,-11.503768559959939,3.8491133288882464,2.3401445662120506,2.5356769894736333,0.031828962872414296,-0.015454890596788711,0.045191680810525874,-0.026685560842990133,2.4194651810581624,1.1102230246251565e-16,a835d042a6e7b6875cff535462708852bb9d9aa7e0a2b750670983e1bb23ceb7,6bf3e6fb004eff5b6ab0c1ee6cf7256343a500bd7c1bee543958edb0fd450574
symbol-1-fold-4-inner,108,72,36,61,72,1.0,0.01639344262295082,0.01639344262295082,8,15,8,-3.0303030303030276,-11.016949152542377,-3.5788069685274913,-11.652473086247527,3.4414760074404405,3.3833309566584346,2.4604991020110036,0.17828169935445173,-0.1619657287025909,0.0659535035474983,0.058036025746951145,3.052312631672658,1.1102230246251565e-16,cea940b4fa62c27ce0630f6b769cf1a1132660ee6fd9f5200b0061ef48edb8b5,52b6c79b335c57dae278d1c5e21a9ee80930a7c8ddb61a526a0daf9695f5c918
symbol-2-fold-1-inner,29,15,14,11,15,1.0,0.09090909090909091,0.09090909090909091,2,4,2,-2.4561403508771895,-11.475409836065575,-5.587970917681563,-11.910911997124066,6.357611095738433,2.4699103460335325,1.983073754286291,0.3562796881085221,-0.49287524054711956,-0.0015349097990569028,0.10349960904774347,1.8424067661550492,1.1102230246251565e-16,1d143f57581954b7db416f4568637f5dbb2a3547d1d37d4aafd2c123426f9b9f,06731a8741c4423cd1a8a7bfaa6a9be409ee46d4dc5ddc9fe01054cf863eafb6
symbol-2-fold-2-inner,55,26,29,20,26,1.0000000000000002,0.05,0.05,2,5,2,-2.3790642347343405,-11.808118081180808,-4.486859720460625,-12.361993391426047,5.301054598763228,2.9596250707353695,2.6217090305916164,0.08715508702234778,-0.12929664487683526,-0.040909637571093886,-0.016961854081227138,3.409804587567087,1.1102230246251565e-16,85c780f1da7bf4aa5331802a3fe9c4774907202697e55c5f3d1fd61c285501ba,e9808904689886991af58de70448f688a0018074aa9a99246de3270b132a05d1
symbol-2-fold-3-inner,85,44,41,32,44,1.0,0.03125,0.03125,5,10,5,-2.635914332784184,-11.66666666666667,-4.279385349025225,-12.130191064659538,4.83747943993055,2.5204071964544896,2.9849180253287066,0.05615438408975507,-0.11581370022685683,-0.010399673987122143,-0.048011439319304385,3.178265351734651,1.1102230246251565e-16,3bc940f0cb416fcd697c6758d622148a07abe07d570018da3130ae73b86df4a3,0447e22684cacb18485c6410e8ca0cf4ec2f7fe46f9b8d4faeae09c085945a17
symbol-2-fold-4-inner,133,74,59,55,74,1.0000000000000002,0.01818181818181818,0.01818181818181818,8,16,8,-3.0694668820678506,-11.475409836065575,-3.9622958819822287,-12.578711220623552,4.0969284662083725,3.932049116473165,2.6885456005527315,0.09423510796203817,-0.08213704092653601,0.0843230894792348,0.022696250874531927,3.6439586893671545,5.551115123125783e-17,486e187e129396e86d68bc89ddd27dc74764748aadbf95c5b25b53fce32b7414,c03710cd2072b108dc411cce05917759b807acacd5db5a8eeec9836a6a9d136e
