unit,scope,fold,heldGroup,threshold,selected,baselineEnter,enterCount,enterPerSession,uniqueSymbols,strict30mCount,unknownCount,coverageRate,entrySymbolHHI,baselineMeanD30,meanD30,meanD30ImprovementPct,medianD30,D30p90,D30p95,D30ES95,MAEmedian,MAEp05,MAEworst,MFEmean,MFEmedian,MAEleMinus2,MAEleMinus5,MAEleMinus10,precision1,precision1Hits,anchorPreservation1,baselineWinners1,falseRiskRejected1,precision2,precision2Hits,anchorPreservation2,baselineWinners2,falseRiskRejected2,precision3,precision3Hits,anchorPreservation3,baselineWinners3,falseRiskRejected3,precision5,precision5Hits,anchorPreservation5,baselineWinners5,falseRiskRejected5,correctRiskRejections,falseRiskAcceptances,goodAcceptances,censoredUnknown,throughput,failedOrUnknown
chrono-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,,1,False,12,0,0.0,0,0,0,,,1.5305505213289927,,,,,,,,,,,,0,0,0,,0,0.0,4,4,,0,0.0,3,3,,0,0.0,2,2,,0,0.0,2,2,0,0,0,7,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
chrono-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,,2,False,12,9,2.25,7,3,6,0.3333333333333333,0.18518518518518517,1.5305505213289927,1.2423603600909698,18.829183174416507,1.5337423312883458,2.06141946544532,2.1273791072149417,2.1933387489845635,-1.5337423312883458,-2.1273791072149417,-2.1933387489845635,6.716772119980637,5.21472392638036,1,0,0,0.6666666666666666,2,0.5,4,2,0.6666666666666666,2,0.6666666666666666,3,1,0.6666666666666666,2,1.0,2,0,0.6666666666666666,2,1.0,2,0,0,0,2,7,0.75,precision1RatioMin:FAIL;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
chrono-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,,5,False,12,12,3.0,9,5,7,0.4166666666666667,0.16666666666666666,1.5305505213289927,1.5305505213289927,0.0,1.5337423312883458,2.4535176361962785,2.540243931933517,2.626970227670755,-1.5337423312883458,-2.540243931933517,-2.626970227670755,4.745145037858238,2.2767075306479923,2,0,0,0.8,4,1.0,4,0,0.6,3,1.0,3,0,0.4,2,1.0,2,0,0.4,2,1.0,2,0,0,0,4,7,1.0,adverseMeanRatioMax:FAIL
chrono-1,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,1,,10,False,12,12,3.0,9,5,7,0.4166666666666667,0.16666666666666666,1.5305505213289927,1.5305505213289927,0.0,1.5337423312883458,2.4535176361962785,2.540243931933517,2.626970227670755,-1.5337423312883458,-2.540243931933517,-2.626970227670755,4.745145037858238,2.2767075306479923,2,0,0,0.8,4,1.0,4,0,0.6,3,1.0,3,0,0.4,2,1.0,2,0,0.4,2,1.0,2,0,0,0,4,7,1.0,adverseMeanRatioMax:FAIL
chrono-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,,1,False,25,0,0.0,0,0,0,,,2.2437409126747405,,,,,,,,,,,,0,0,0,,0,0.0,13,13,,0,0.0,12,12,,0,0.0,6,6,,0,0.0,4,4,2,0,0,9,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
chrono-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,,2,False,25,2,0.25,2,0,2,0.0,0.5,2.2437409126747405,,,,,,,,,,,,0,0,0,,0,0.0,13,13,,0,0.0,12,12,,0,0.0,6,6,,0,0.0,4,4,2,0,0,9,0.08,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
chrono-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,,5,False,25,25,3.125,15,16,9,0.64,0.12000000000000001,2.2437409126747405,2.2437409126747405,0.0,1.7130757117846729,4.694618189877603,6.539600962404046,9.345794392523366,-1.7130757117846729,-6.539600962404046,-9.345794392523366,4.908102556574627,2.6439604825064134,7,2,0,0.8125,13,1.0,13,0,0.75,12,1.0,12,0,0.375,6,1.0,6,0,0.25,4,1.0,4,0,0,2,13,9,1.0,adverseMeanRatioMax:FAIL
chrono-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,,10,False,25,25,3.125,15,16,9,0.64,0.12000000000000001,2.2437409126747405,2.2437409126747405,0.0,1.7130757117846729,4.694618189877603,6.539600962404046,9.345794392523366,-1.7130757117846729,-6.539600962404046,-9.345794392523366,4.908102556574627,2.6439604825064134,7,2,0,0.8125,13,1.0,13,0,0.75,12,1.0,12,0,0.375,6,1.0,6,0,0.25,4,1.0,4,0,0,2,13,9,1.0,adverseMeanRatioMax:FAIL
chrono-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,,1,False,65,0,0.0,0,0,0,,,2.3558275862678264,,,,,,,,,,,,0,0,0,,0,0.0,38,38,,0,0.0,30,30,,0,0.0,22,22,,0,0.0,14,14,7,0,0,20,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
chrono-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,,2,False,65,0,0.0,0,0,0,,,2.3558275862678264,,,,,,,,,,,,0,0,0,,0,0.0,38,38,,0,0.0,30,30,,0,0.0,22,22,,0,0.0,14,14,7,0,0,20,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
