gate,limit,status,reason
adverseMeanRatioMax,0.9,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
adverseES95RatioMax,1.0,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
preservation3RatioMin,0.9,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
preservation5RatioMin,0.9,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
throughputRatioMin,0.8,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
precision1RatioMin,0.9,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
precision2RatioMin,0.9,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
absoluteStrictLabelCoverageGapMax,0.05,INCONCLUSIVE,PRIMARY_SELECTED_OOF_INCOMPLETE
symbolDisjointMeanD30RatioMax,1.0,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointMacroMeanD30RatioMax,1.0,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointNonWorseHashGroupsMin,3,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointHashGroupCount,5,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointPreservation3RatioMin,0.9,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointPreservation5RatioMin,0.9,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointThroughputRatioMin,0.8,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointGuardrail:precision1RatioMin,0.9,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointGuardrail:precision2RatioMin,0.9,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
symbolDisjointGuardrail:absoluteStrictLabelCoverageGapMax,0.05,INCONCLUSIVE,SYMBOL_SELECTED_OOF_INCOMPLETE
portfolioNetPnlDeltaMinJpy,0.0,INCONCLUSIVE,NO_COMPLETE_SELECTED_OOF_OR_UNPRICED_EXPOSURE
portfolioRequirePFImprovementOrDDImprovement,True,INCONCLUSIVE,NO_COMPLETE_SELECTED_OOF_OR_UNPRICED_EXPOSURE
portfolioProfitFactorRatioMin,0.9,INCONCLUSIVE,NO_COMPLETE_SELECTED_OOF_OR_UNPRICED_EXPOSURE
portfolioMaxDrawdownRatioMax,1.1,INCONCLUSIVE,NO_COMPLETE_SELECTED_OOF_OR_UNPRICED_EXPOSURE
positiveSymbolHHIRatioMax,1.1,INCONCLUSIVE,NO_COMPLETE_SELECTED_OOF_OR_UNPRICED_EXPOSURE
negativeSymbolHHIRatioMax,1.1,INCONCLUSIVE,NO_COMPLETE_SELECTED_OOF_OR_UNPRICED_EXPOSURE
