model,candidateTrainingRows,eligibleRows,excludedLabelRows,trainingSymbols,momentumMissing,pullbackMissing,momentumWeightedMedian,pullbackWeightedMedian,means,stds,modelPayloadSHA,modelFileSHA,trainingWeightsSHA,weightSum,lambda,normalEquationResidualInf
chrono-1-inner,600,286,314,133,28,51,-1.6000000000000014,-4.918032786885251,"[53.57154940061835, -2.0352880586093716, -5.434336673311666]","[19.339816340194975, 2.241224192329082, 2.4272485909753185]",2ad17efa1452824a8df8aef3bc9ad5ff4bd9c276e41e53ecc28456e3523bdea1,0b02b1edfb3bac3468bb10a53f6b2f3e0c24a22cbc889e02cd427ebe3efa5702,d671472b72e88e0b0b3e83098ce99795125646d0f61971e0a0585be2ac191a47,1.0,1,5.551115123125783e-17
chrono-2-inner,1150,555,595,217,43,88,-1.520912547528519,-5.005324813631518,"[53.2062524742624, -1.8842058874801646, -5.42570440804651]","[20.287569001782852, 2.066030967098264, 2.6392674362477906]",cc1cade231813b5484f0f383f784f07fd3f8500edbf64d60892137d393455ee6,9e1e7f0258e9c0b53bb071281bc513f72abdaaf90b540515330afeb9f884c51e,26654ac633924dbbf462c9566d577eb471f09c45d407205bedd825717e30347a,1.0,1,1.1102230246251565e-16
chrono-3-inner,1700,811,889,312,65,125,-1.4814814814814836,-5.0847457627118615,"[53.268386251102406, -1.8333376747387806, -5.520101370346175]","[18.836334647860426, 2.03336675740019, 2.596406564645489]",1ec3e3326ea93df848ceb5853f8be67924a6079f208394ebe684bcf7502d9790,887db03a01e56ef0716c6d31a97a155b03a0f0ff0502a1cd3ff1bc5205c8a86d,a4d654f8196a849b2ec7d2ad9a93dd0685034034919f54a0da674ecb14960a3a,0.9999999999999999,1,2.220446049250313e-16
chrono-4-inner,2250,1072,1178,415,88,167,-1.4814814814814836,-5.670103092783507,"[57.62314702780517, -1.8487610441131854, -5.9894666170260376]","[23.633147217717593, 2.043137242128812, 3.077659154547053]",d79c80d8da8fda7bd115164f1081a11c80bfcc3ddad7bf926662d58f154f06c7,b3bc2a80271bc8bd514f21c609a7dcbc418c1a5d5d40d4c329331941c79fdfb8,d755da37cf46a74eae0f11bcbc1c7a94bcbe181d0f9d51e1d8c22bc69fb20b86,1.0,1,2.7755575615628914e-17
symbol-0-fold-1-inner,482,239,243,110,25,44,-1.6506189821182904,-4.918032786885251,"[52.51065884908033, -2.10774627114565, -5.410067269190566]","[17.957847335605692, 2.2188579671966853, 2.390862541153308]",0cf7b5fe782ee6094a6f124a9f566f9fb01b42d94fa41d527f6ef66dc404f368,756407ae01406b3c9790db6bb45474e711b8d399bbcfc77313d90b631a8a6763,9f52210cc42550d3cdf9a71528bd62502c8dd3eb9d4752e11a37e9ed6d7e6fdd,0.9999999999999998,1,5.551115123125783e-17
symbol-0-fold-2-inner,904,454,450,173,38,77,-1.6000000000000014,-4.858299595141702,"[51.715489002335566, -1.8973740135348425, -5.251715236213667]","[18.522881290460656, 2.0313628142856492, 2.5289706470749556]",e39d7149f66facd2ec6ed0643bba5179cad971a7ef231438c35a288effcad82a,af6868ceec94d18dced20c8ca2f2f2b64b255ee9149712d59f3be40c02340e79,8626415ee0bb2fa36873a99fab31580d8c825e1aef55f6727832f86775f0e4fe,0.9999999999999998,1,5.551115123125783e-17
symbol-0-fold-3-inner,1317,649,668,247,55,108,-1.5873015873015928,-5.081669691470059,"[52.902736062426015, -1.886164309512421, -5.478529714018949]","[18.12102200384535, 2.062602097471421, 2.535762385146144]",a73d8d95d7e8bfff6aa5c082d6b8a3df1a99ab2ce4da9f05b9d44a41378e851b,08e29170ca49b21a63525ae6c74b28accecc54b401cb184f6039a93787c52520,3c42fa8243df83d7094bb8e63fa6ebb95acf9cb9e4de488f8e290d03423062f5,1.0,1,5.551115123125783e-17
symbol-0-fold-4-inner,1740,852,888,329,74,143,-1.5873015873015928,-5.61797752808989,"[57.51785826237099, -1.9236204130553243, -5.998190013401181]","[24.33045825600663, 2.0698836687996334, 3.167870453728057]",2fd3dd40f8fc327ee9994a2e1dcc80ec0990854b7fcd30579e96167f8b6582ba,bff08ff90da887cde768f623539a339208f56507748d81e881d022e3b7b2e853,dd83efdbf4c1334fc4f021ff5d3d8b16166aba004942d5115f1be678f1144890,1.0,1,5.551115123125783e-17
symbol-1-fold-1-inner,441,211,230,104,21,37,-1.5873015873015928,-4.8054919908466776,"[52.761064174008, -1.9278244353466603, -5.210321955431936]","[18.44359100602415, 2.088417536041202, 2.1903362437933547]",80ae9fdb2d649b83a464dd715f91e44ffcf5f24198ee6cbab63f7ac74a5ad348,0f12b74f4f552d8b46e82ca7c7c116776eeb1cba40fa7cd9cc5389714c888c50,a7bfda63d568796a19661f2748a921dabd830db42a418e713b6a6f239e4b0f42,1.0,1,5.551115123125783e-17
symbol-1-fold-2-inner,861,430,431,173,32,65,-1.5166835187057637,-5.005324813631518,"[53.28235648475389, -1.8601976596749443, -5.436915796439977]","[20.404305752739152, 1.9732385919821125, 2.631724379039933]",dab6e2ebf035ddec3550c293fa512a3c6683e48bd2dd3f7462fdb46130ac0b88,46e721540f38d77d29378c39ace24d634f2dbc30be54869341c072fca18a5f06,4d0140d3545e920d3d765c9d8e489b75f5a69dba919407f07a4bdf717dc17c7f,0.9999999999999999,1,5.551115123125783e-17
