unit,input,group,coefficient,scale,center,savedMedian,rawUnitSlope,direction,observed,missing,term_n,term_mean,term_median,term_p05,term_p90,term_p95,term_min,term_max
chrono-1,frozenSelectorRidgeScore,ALL,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,200,0,200,0.0010742605807342002,0.0062679040586906655,-0.039682214255532276,0.01722841879220646,0.01830537999346525,-0.08344576375124699,0.022490893007657185
chrono-1,frozenSelectorRidgeScore,ENTER,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,133,0,133,0.004002097660295922,0.006997508617046395,-0.02069584827077027,0.017170247347164113,0.018456249277878867,-0.08313130200990881,0.02055022688527396
chrono-1,frozenSelectorRidgeScore,RISK_REJECT,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,7,0,7,-0.03847307170949849,-0.03985446270648056,-0.057415443043646486,-0.01998873359369419,-0.009223753095098132,-0.0575179471779982,0.0015412274034979896
chrono-1,frozenSelectorRidgeScore,STATE_ALREADY_ENTERED,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,60,0,60,-0.0008019228451004678,0.004826187330329943,-0.046188778570960376,0.01725141366154082,0.0178725016814492,-0.08344576375124699,0.022490893007657185
chrono-1,frozenSelectorRidgeScore,INPUT_UNSCORABLE,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,0,0,0,,,,,,,
chrono-1,frozenSelectorRidgeScore,FALSE_REJECT_HIGH_OPPORTUNITY,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,2,0,2,-0.019156617651491285,-0.019156617651491285,-0.03778467820098163,-0.0025983416074998643,-0.0005285571020009398,-0.03985446270648056,0.0015412274034979896
chrono-1,frozenSelectorRidgeScore,FALSE_ACCEPT_RISK,-0.013755735050985438,19.339816340194975,53.57154940061835,,-0.0007112650300818089,DECREASES,14,0,14,-0.0011306083806838473,0.002394138595174386,-0.021469726249917043,0.008986087748943897,0.012072852300404115,-0.02297127572530329,0.017744746787874355
chrono-1,directionalMomentum3Pct,ALL,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,119,81,200,-0.00656280120783901,-0.022764978839123217,-0.13801815177658722,0.1028563118772056,0.15563231695392896,-0.2512698597737168,0.7601687950901003
chrono-1,directionalMomentum3Pct,ENTER,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,73,60,133,-0.023008592932243995,-0.022764978839123217,-0.13104969999272825,0.05678989040146341,0.10956763923747825,-0.23842680319655188,0.18719149247377345
chrono-1,directionalMomentum3Pct,RISK_REJECT,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,7,0,7,0.38848757657429045,0.5472903315205935,0.00043200270773504496,0.6324417169483962,0.696305256019248,-0.06600572024728504,0.7601687950901003
chrono-1,directionalMomentum3Pct,STATE_ALREADY_ENTERED,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,39,21,60,-0.0161971736266564,-0.022764978839123217,-0.16791430020029444,0.08340384178824307,0.12863921672912643,-0.2512698597737168,0.5472903315205935
chrono-1,directionalMomentum3Pct,INPUT_UNSCORABLE,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,0,0,0,,,,,,,
chrono-1,directionalMomentum3Pct,FALSE_REJECT_HIGH_OPPORTUNITY,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,2,0,2,0.6537295633053468,0.6537295633053468,0.5579342546990689,0.7388809487331496,0.7495248719116249,0.5472903315205935,0.7601687950901003
chrono-1,directionalMomentum3Pct,FALSE_ACCEPT_RISK,-0.11721300482053763,2.241224192329082,-2.0352880586093716,-1.6000000000000014,-0.052298652326579514,DECREASES,13,1,14,-0.018695444465913064,-0.006234869085900717,-0.1502888356229204,0.06131616067851049,0.10298046356792817,-0.17385480684954957,0.15903256995905787
chrono-1,directionalPullback6Pct,ALL,-0.1965947176571957,2.4272485909753185,-5.434336673311666,-4.918032786885251,-0.0809948838319028,DECREASES,101,99,200,-0.03715293272868764,-0.04181797330306739,-0.26456816699069696,0.05333566990877797,0.32815218662955675,-0.4401534675583275,0.9136515071535929
