unit,fold,heldGroup,threshold,v1Enter,enter,strict,D30,precision1,precision2,precision3,precision5,failures,selection
chrono-1,1,,1,12,1,1,0,1.0,1.0,1.0,0.0,throughputRatioMin:FAIL|preservation5RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-1,1,,2,12,133,60,1.352772944081944,0.5166666666666667,0.36666666666666664,0.2,0.06666666666666667,adverseES95RatioMax:FAIL|precision1RatioMin:FAIL|precision2RatioMin:FAIL,NONE
chrono-1,1,,5,12,136,62,1.409030214385336,0.5483870967741935,0.3870967741935484,0.20967741935483872,0.06451612903225806,adverseMeanRatioMax:FAIL|adverseES95RatioMax:FAIL|precision1RatioMin:FAIL|precision2RatioMin:FAIL,NONE
chrono-1,1,,10,12,136,62,1.409030214385336,0.5483870967741935,0.3870967741935484,0.20967741935483872,0.06451612903225806,adverseMeanRatioMax:FAIL|adverseES95RatioMax:FAIL|precision1RatioMin:FAIL|precision2RatioMin:FAIL,NONE
chrono-2,2,,1,25,2,0,,,,,,adverseMeanRatioMax:INCONCLUSIVE|adverseES95RatioMax:INCONCLUSIVE|throughputRatioMin:FAIL|preservation3RatioMin:FAIL|preservation5RatioMin:FAIL|precision1RatioMin:INCONCLUSIVE|precision2RatioMin:INCONCLUSIVE|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-2,2,,2,25,297,129,1.4111731164406072,0.627906976744186,0.35658914728682173,0.21705426356589147,0.09302325581395349,precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-2,2,,5,25,300,131,1.4637135426467178,0.6335877862595419,0.366412213740458,0.22137404580152673,0.09923664122137404,precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-2,2,,10,25,300,131,1.4637135426467178,0.6335877862595419,0.366412213740458,0.22137404580152673,0.09923664122137404,precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-3,3,,1,65,0,0,,,,,,adverseMeanRatioMax:INCONCLUSIVE|adverseES95RatioMax:INCONCLUSIVE|throughputRatioMin:FAIL|preservation3RatioMin:FAIL|preservation5RatioMin:FAIL|precision1RatioMin:INCONCLUSIVE|precision2RatioMin:INCONCLUSIVE|absoluteStrictLabelCoverageGapMax:INCONCLUSIVE,NONE
chrono-3,3,,2,65,446,215,1.9425676029898502,0.6790697674418604,0.4,0.2744186046511628,0.14418604651162792,precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-3,3,,5,65,454,222,1.939255656338392,0.6891891891891891,0.40540540540540543,0.27927927927927926,0.14414414414414414,precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-3,3,,10,65,454,222,1.939255656338392,0.6891891891891891,0.40540540540540543,0.27927927927927926,0.14414414414414414,precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-4,4,,1,63,0,0,,,,,,adverseMeanRatioMax:INCONCLUSIVE|adverseES95RatioMax:INCONCLUSIVE|throughputRatioMin:FAIL|preservation3RatioMin:FAIL|preservation5RatioMin:FAIL|precision1RatioMin:INCONCLUSIVE|precision2RatioMin:INCONCLUSIVE|absoluteStrictLabelCoverageGapMax:INCONCLUSIVE,NONE
chrono-4,4,,2,63,556,284,1.6168490907684252,0.6584507042253521,0.4084507042253521,0.28169014084507044,0.13028169014084506,adverseES95RatioMax:FAIL|precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-4,4,,5,63,556,283,1.6354707270453706,0.6607773851590106,0.4134275618374558,0.2826855123674912,0.13074204946996468,adverseES95RatioMax:FAIL|precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
chrono-4,4,,10,63,556,283,1.6354707270453706,0.6607773851590106,0.4134275618374558,0.2826855123674912,0.13074204946996468,adverseES95RatioMax:FAIL|precision1RatioMin:FAIL|precision2RatioMin:FAIL|absoluteStrictLabelCoverageGapMax:FAIL,NONE
symbol-0-fold-1,1,0,1,11,0,0,,,,,,adverseMeanRatioMax:INCONCLUSIVE|adverseES95RatioMax:INCONCLUSIVE|throughputRatioMin:FAIL|preservation3RatioMin:FAIL|preservation5RatioMin:FAIL|precision1RatioMin:INCONCLUSIVE|precision2RatioMin:INCONCLUSIVE|absoluteStrictLabelCoverageGapMax:INCONCLUSIVE,NONE
