unit,heldGroup,candidateRows,v1Enter,v2Enter,v1Strict,v2Strict,v1D30,v2D30,D30ImprovementPct,riskReject,latchSkip,riskRejectKnown,riskRejectCensored,rejectedWinner1,rejectedWinner2,rejectedWinner3,rejectedWinner5,v1Precision1,v1Precision2,v1Precision3,v1Precision5,v2Precision1,v2Precision2,v2Precision3,v2Precision5,v1Preservation1,v1Preservation2,v1Preservation3,v1Preservation5,v2Preservation1,v2Preservation2,v2Preservation3,v2Preservation5,flagA_CORRECT_RISK_REJECTION,flagB_FALSE_REJECTION_LOW_OPPORTUNITY,flagC_FALSE_REJECTION_HIGH_OPPORTUNITY,flagD_FALSE_ACCEPT_RISK,flagE_GOOD_ACCEPT,flagF_CENSORED_UNKNOWN
chrono-1,,200,12,133,5,60,1.5305505213289927,1.352772944081944,11.61527011161203,7,60,4,3,4,3,2,1,0.8,0.6,0.4,0.4,0.5166666666666667,0.36666666666666664,0.2,0.06666666666666667,0.08823529411764706,0.08333333333333333,0.07692307692307693,0.25,0.8823529411764706,0.875,0.8461538461538461,0.75,2,2,2,14,30,109
chrono-2,,400,25,297,16,129,2.2437409126747405,1.4111731164406072,37.10623590856744,5,98,4,1,3,3,2,2,0.8125,0.75,0.375,0.25,0.627906976744186,0.35658914728682173,0.21705426356589147,0.09302325581395349,0.13253012048192772,0.20833333333333334,0.1724137931034483,0.23076923076923078,0.9759036144578314,0.9583333333333334,0.9655172413793104,0.9230769230769231,1,1,2,34,66,216
chrono-3,,600,65,446,45,215,2.3558275862678264,1.9425676029898502,17.542030057160307,11,143,9,2,9,5,4,1,0.8444444444444444,0.6666666666666666,0.4888888888888889,0.3111111111111111,0.6790697674418604,0.4,0.2744186046511628,0.14418604651162792,0.2222222222222222,0.3,0.3225806451612903,0.4375,0.9477124183006536,0.9555555555555556,0.9516129032258065,0.96875,2,5,4,80,104,307
chrono-4,,800,63,556,46,284,1.835280917874648,1.6168490907684252,11.901819769323296,6,238,4,2,4,4,3,2,0.8478260869565217,0.782608695652174,0.5,0.21739130434782608,0.6584507042253521,0.4084507042253521,0.28169014084507044,0.13028169014084506,0.17647058823529413,0.2564102564102564,0.275,0.2702702702702703,0.9786096256684492,0.9658119658119658,0.9625,0.9459459459459459,2,1,3,83,150,408
symbol-0-fold-1,0,171,11,110,5,54,1.5305505213289927,1.4618047591112124,4.4915709256096665,6,55,4,2,4,3,2,1,0.8,0.6,0.4,0.4,0.48148148148148145,0.3333333333333333,0.14814814814814814,0.037037037037037035,0.10344827586206896,0.1,0.1111111111111111,0.5,0.8620689655172413,0.85,0.7777777777777778,0.5,2,2,2,14,25,86
symbol-0-fold-2,0,293,20,213,14,89,2.4092192381318314,1.428855704505886,40.692167740871255,8,72,7,1,6,6,5,3,0.7857142857142857,0.7142857142857143,0.35714285714285715,0.2857142857142857,0.5955056179775281,0.3258426966292135,0.19101123595505617,0.07865168539325842,0.1724137931034483,0.2647058823529412,0.19047619047619047,0.3333333333333333,0.9137931034482759,0.8529411764705882,0.8095238095238095,0.7777777777777778,2,1,5,24,42,159
symbol-0-fold-3,0,459,57,349,40,169,2.139715737156699,2.055034734511107,3.957581896281137,11,99,10,1,10,6,4,1,0.85,0.65,0.525,0.325,0.6449704142011834,0.3905325443786982,0.2781065088757396,0.14792899408284024,0.26495726495726496,0.3380281690140845,0.38,0.5,0.9230769230769231,0.9295774647887324,0.94,0.9615384615384616,2,6,4,67,77,233
symbol-0-fold-4,0,641,51,446,36,237,1.8273559185274708,1.6168256706135966,11.52103133162612,5,190,4,1,4,4,3,2,0.8611111111111112,0.8055555555555556,0.5,0.25,0.6582278481012658,0.39662447257383965,0.26582278481012656,0.1308016877637131,0.16666666666666666,0.25263157894736843,0.2698412698412698,0.2903225806451613,0.9743589743589743,0.9578947368421052,0.9523809523809523,0.9354838709677419,2,1,3,67,127,314
symbol-1-fold-1,1,145,8,101,4,47,1.9131881516612408,1.3043098622399514,31.825321983757537,2,42,1,1,1,1,0,0,0.75,0.5,0.25,0.25,0.5319148936170213,0.3617021276595745,0.19148936170212766,0.06382978723404255,0.07692307692307693,0.05555555555555555,0.0,0.0,0.9615384615384616,0.9444444444444444,1.0,1.0,1,1,0,11,24,77
symbol-1-fold-2,1,322,15,242,11,111,2.318812708311301,1.530692299620494,33.988101146157845,2,78,1,1,1,1,0,0,0.8181818181818182,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.6216216216216216,0.35135135135135137,0.1891891891891892,0.07207207207207207,0.11428571428571428,0.175,0.09523809523809523,0.125,0.9857142857142858,0.975,1.0,1.0,0,1,0,32,54,166
symbol-1-fold-3,1,500,51,371,37,188,2.738404403700667,2.0666648426570844,24.530327227629233,9,120,7,2,7,3,3,1,0.8108108108108109,0.5945945945945946,0.40540540540540543,0.21621621621621623,0.6702127659574468,0.3882978723404255,0.25,0.11702127659574468,0.1984732824427481,0.25333333333333335,0.2653061224489796,0.34782608695652173,0.9541984732824428,0.9733333333333334,0.9591836734693877,0.9565217391304348,2,4,3,74,88,242
symbol-1-fold-4,1,560,35,412,30,211,1.852817866381225,1.391042802699407,24.922852486505853,3,145,2,1,2,2,2,0,0.8,0.7333333333333333,0.43333333333333335,0.1,0.6492890995260664,0.3981042654028436,0.26540284360189575,0.11374407582938388,0.1366906474820144,0.19767441860465115,0.20689655172413793,0.125,0.9856115107913669,0.9767441860465116,0.9655172413793104,1.0,2,0,2,56,116,285
symbol-2-fold-1,2,159,9,112,3,52,1.1640133492286209,1.2793958383015085,-9.91247129161794,4,43,2,2,2,2,2,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5576923076923077,0.36538461538461536,0.21153846153846154,0.07692307692307693,0.06666666666666667,0.05,0.08333333333333333,0.25,0.9333333333333333,0.9,0.8333333333333334,0.75,1,0,2,12,28,87
symbol-2-fold-2,2,323,22,235,14,104,2.3453568203789397,1.4407015613399072,38.57218019784585,3,85,3,0,3,3,2,2,0.7857142857142857,0.7857142857142857,0.42857142857142855,0.2857142857142857,0.6346153846153846,0.34615384615384615,0.21153846153846154,0.10576923076923077,0.1323529411764706,0.23684210526315788,0.21739130434782608,0.25,0.9705882352941176,0.9473684210526315,0.9565217391304348,0.9166666666666666,0,1,2,25,56,171
symbol-2-fold-3,2,490,51,364,33,171,2.363720446801137,1.8811300103603756,20.416561404029775,6,120,5,1,5,3,2,0,0.8484848484848485,0.6666666666666666,0.48484848484848486,0.36363636363636365,0.672514619883041,0.38596491228070173,0.25146198830409355,0.13450292397660818,0.21666666666666667,0.30434782608695654,0.35555555555555557,0.5217391304347826,0.9583333333333334,0.9565217391304348,0.9555555555555556,1.0,2,3,2,62,80,257
symbol-2-fold-4,2,667,57,464,40,232,1.8136326242107337,1.790557350054234,1.272323504135342,6,197,4,2,4,4,3,2,0.85,0.775,0.55,0.225,0.6379310344827587,0.3922413793103448,0.2672413793103448,0.10775862068965517,0.19594594594594594,0.2826086956521739,0.3387096774193548,0.36,0.972972972972973,0.9565217391304348,0.9516129032258065,0.92,2,1,3,74,114,346
symbol-3-fold-1,3,170,11,107,5,43,1.5305505213289927,1.4182145047167136,7.3395823951460715,6,57,4,2,4,3,2,1,0.8,0.6,0.4,0.4,0.5116279069767442,0.3953488372093023,0.2558139534883721,0.09302325581395349,0.12,0.10526315789473684,0.08333333333333333,0.25,0.84,0.8421052631578947,0.8333333333333334,0.75,2,2,2,10,22,98
symbol-3-fold-2,3,328,21,244,12,101,2.0189725837885604,1.3491601647425546,33.17590463705636,8,76,7,1,6,6,5,3,0.8333333333333334,0.75,0.4166666666666667,0.25,0.6138613861386139,0.3564356435643564,0.2079207920792079,0.09900990099009901,0.11940298507462686,0.17073170731707318,0.16,0.16666666666666666,0.9253731343283582,0.8780487804878049,0.84,0.8333333333333334,2,1,5,25,53,184
symbol-3-fold-3,3,470,48,346,31,158,2.0183336075554723,1.7413868058665367,13.721557261505591,6,118,4,2,4,3,2,0,0.8709677419354839,0.7419354838709677,0.5483870967741935,0.3225806451612903,0.7278481012658228,0.4240506329113924,0.3037974683544304,0.17088607594936708,0.20168067226890757,0.2857142857142857,0.3,0.37037037037037035,0.9663865546218487,0.9571428571428572,0.96,1.0,1,2,2,50,87,250
symbol-3-fold-4,3,686,53,464,38,230,1.9272823226044606,1.6681209153057361,13.446987203644511,3,219,2,1,2,2,1,0,0.8421052631578947,0.7894736842105263,0.5,0.23684210526315788,0.6739130434782609,0.43043478260869567,0.3,0.14782608695652175,0.1858974358974359,0.27,0.2753623188405797,0.2647058823529412,0.9871794871794872,0.98,0.9855072463768116,1.0,2,1,1,68,123,362
symbol-4-fold-1,4,155,9,104,3,46,1.3869041863197002,1.2937191601149753,6.7189231328229955,6,45,3,3,3,3,2,1,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5217391304347826,0.3695652173913043,0.1956521739130435,0.06521739130434782,0.07692307692307693,0.10526315789473684,0.1,0.3333333333333333,0.8846153846153846,0.8421052631578947,0.8,0.6666666666666666,2,1,2,9,23,88
symbol-4-fold-2,4,334,22,248,13,105,2.1000571380881192,1.404788960123074,33.10710767603273,4,82,3,1,2,2,2,2,0.8461538461538461,0.7692307692307693,0.46153846153846156,0.3076923076923077,0.6476190476190476,0.3619047619047619,0.23809523809523808,0.09523809523809523,0.13043478260869565,0.20512820512820512,0.19230769230769232,0.2727272727272727,0.9855072463768116,0.9743589743589743,0.9615384615384616,0.9090909090909091,1,0,2,29,55,184
symbol-4-fold-3,4,481,53,357,39,175,2.4761091417015124,1.9309713565170918,22.0159029343035,6,118,5,1,5,2,1,0,0.8461538461538461,0.6923076923076923,0.48717948717948717,0.3333333333333333,0.6857142857142857,0.41714285714285715,0.3028571428571429,0.1657142857142857,0.232,0.32,0.3148148148148148,0.4482758620689655,0.96,0.9733333333333334,0.9814814814814815,1.0,1,4,1,65,87,246
