caseId,chartInspected,semanticState,contractAmbiguous,notes
DV1-001,YES,DROP,NO,opposing-direction full move ratio=3.027069; DEGRADED prefix quality
DV1-002,YES,PULLBACK,NO,opposing-direction partial move ratio=0.646715
DV1-003,YES,DROP,NO,same-direction move not shock: visible prior magnitude 8.41 units is not flat/small
DV1-004,YES,DROP,NO,same-direction move not shock: visible prior magnitude 86.17 units is not flat/small; DEGRADED prefix quality
DV1-005,YES,PULLBACK,NO,opposing-direction partial move ratio=0.359937; DEGRADED prefix quality
DV1-006,YES,PULLBACK,NO,opposing-direction partial move ratio=0.558257; DEGRADED prefix quality
DV1-007,YES,DROP,NO,same-direction move not shock: visible prior magnitude 72.74 units is not flat/small
DV1-008,YES,PULLBACK,NO,opposing-direction partial move ratio=0.747354; DEGRADED prefix quality
DV1-009,YES,PULLBACK,NO,opposing-direction partial move ratio=0.775277
DV1-010,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DV1-011,YES,PULLBACK,NO,opposing-direction partial move ratio=0.214604; DEGRADED prefix quality
DV1-012,YES,PULLBACK,NO,opposing-direction partial move ratio=0.961611; DEGRADED prefix quality
DV1-013,YES,DROP,NO,opposing-direction full move ratio=1.202324
DV1-014,YES,DROP,NO,flat recent but sparse/stale/incomplete; carry prior direction; DEGRADED prefix quality
DV1-015,YES,DROP,NO,same-direction move not shock: visible prior magnitude 8.37 units is not flat/small; DEGRADED prefix quality
DV1-016,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DV1-017,YES,DROP,NO,same-direction move not shock: visible prior magnitude 10.20 units is not flat/small; DEGRADED prefix quality
DV1-018,YES,DROP,NO,same-direction move not shock: visible prior magnitude 49.89 units is not flat/small; DEGRADED prefix quality
DV1-019,YES,DROP,NO,same-direction move not shock: visible prior magnitude 43.31 units is not flat/small
DV1-020,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
DV1-021,YES,DROP,NO,opposing-direction full move ratio=6.030839
DV1-022,YES,PULLBACK,NO,opposing-direction partial move ratio=0.306265; DEGRADED prefix quality
DV1-023,YES,DROP,NO,same-direction move not shock: visible prior magnitude 10.25 units is not flat/small; DEGRADED prefix quality
DV1-024,YES,DROP,NO,same-direction move not shock: visible prior magnitude 2.78 units is not flat/small; DEGRADED prefix quality
DV1-025,YES,DROP,NO,flat recent but sparse/stale/incomplete; carry prior direction; DEGRADED prefix quality
DV1-026,YES,DROP,NO,same-direction move not shock: visible prior magnitude 8.37 units is not flat/small; DEGRADED prefix quality
DV1-027,YES,PULLBACK,NO,opposing-direction partial move ratio=0.022245; DEGRADED prefix quality
DV1-028,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DV1-029,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DV1-030,YES,PULLBACK,NO,opposing-direction partial move ratio=0.235947; DEGRADED prefix quality
DV1-031,YES,PULLBACK,NO,opposing-direction partial move ratio=0.831081; DEGRADED prefix quality
DV1-032,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DV1-033,YES,DROP,NO,same-direction move not shock: visible prior magnitude 41.31 units is not flat/small; DEGRADED prefix quality
DV1-034,YES,DROP,NO,opposing-direction full move ratio=2.756604
DV1-035,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DV1-036,YES,PULLBACK,NO,opposing-direction partial move ratio=0.109773; DEGRADED prefix quality
