caseId,chartInspected,semanticState,contractAmbiguous,notes
DSV1-001,YES,DROP,NO,same-direction move not shock: visible prior magnitude 10.66 units is not flat/small; DEGRADED prefix quality
DSV1-002,YES,DROP_STOP,NO,complete flat recent near prefix low (0.00bps <= unit 12.16)
DSV1-003,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DSV1-004,YES,DROP,NO,opposing-direction full move ratio=1.345719; DEGRADED prefix quality
DSV1-005,YES,DROP_STOP,NO,complete flat recent near prefix low (0.00bps <= unit 34.13); DEGRADED prefix quality
DSV1-006,YES,DROP_STOP,NO,complete flat recent near prefix low (0.00bps <= unit 35.84); DEGRADED prefix quality
DSV1-007,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
DSV1-008,YES,RANGE,NO,"complete flat recent not within stop band (low 253.18bps, high 1177.83bps, unit 41.15); DEGRADED prefix quality"
DSV1-009,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DSV1-010,YES,RANGE,NO,"complete flat recent not within stop band (low 69.69bps, high 606.25bps, unit 10.00)"
DSV1-011,YES,DROP_STOP,NO,complete flat recent near prefix low (0.00bps <= unit 10.00)
DSV1-012,YES,DROP,NO,same-direction move not shock: visible prior magnitude 5.93 units is not flat/small
DSV1-013,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DSV1-014,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
DSV1-015,YES,DROP_STOP,NO,complete flat recent near prefix low (0.00bps <= unit 10.00); DEGRADED prefix quality
DSV1-016,YES,DROP,NO,same-direction move not shock: visible prior magnitude 40.99 units is not flat/small; DEGRADED prefix quality
DSV1-017,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
