caseId,chartInspected,semanticState,contractAmbiguous,notes
PV1-001,YES,PULLBACK,NO,opposing-direction partial move ratio=0.241441
PV1-002,YES,PULLBACK,NO,opposing-direction partial move ratio=0.317386
PV1-003,YES,PULLBACK,NO,opposing-direction partial move ratio=0.746524; DEGRADED prefix quality
PV1-004,YES,PULLBACK,NO,opposing-direction partial move ratio=0.324987
PV1-005,YES,PULLBACK,NO,opposing-direction partial move ratio=0.615721; DEGRADED prefix quality
PV1-006,YES,DROP,NO,flat recent but sparse/stale/incomplete; carry prior direction; DEGRADED prefix quality
PV1-007,YES,PULLBACK,NO,opposing-direction partial move ratio=0.135303; DEGRADED prefix quality
PV1-008,YES,PULLBACK,NO,opposing-direction partial move ratio=0.567384; DEGRADED prefix quality
PV1-009,YES,DROP,NO,same-direction move not shock: visible prior magnitude 27.66 units is not flat/small; DEGRADED prefix quality
PV1-010,YES,PULLBACK,NO,opposing-direction partial move ratio=0.490134; DEGRADED prefix quality
PV1-011,YES,DROP,NO,same-direction move not shock: visible prior magnitude 20.82 units is not flat/small; DEGRADED prefix quality
PV1-012,YES,PULLBACK,YES,reversal ratio is numerically at equality boundary; DEGRADED prefix quality
PV1-013,YES,PULLBACK,YES,reversal ratio is numerically at equality boundary; DEGRADED prefix quality
PV1-014,YES,PULLBACK,NO,opposing-direction partial move ratio=0.753662; DEGRADED prefix quality
PV1-015,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
PV1-016,YES,PULLBACK,NO,opposing-direction partial move ratio=0.499354; DEGRADED prefix quality
PV1-017,YES,PULLBACK,NO,opposing-direction partial move ratio=0.605292; DEGRADED prefix quality
PV1-018,YES,DROP,NO,flat recent but sparse/stale/incomplete; carry prior direction; DEGRADED prefix quality
PV1-019,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
PV1-020,YES,PULLBACK,NO,opposing-direction partial move ratio=0.383142; DEGRADED prefix quality
PV1-021,YES,PULLBACK,NO,opposing-direction partial move ratio=0.499798; DEGRADED prefix quality
PV1-022,YES,PULLBACK,NO,opposing-direction partial move ratio=0.678467
PV1-023,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
PV1-024,YES,PULLBACK,NO,opposing-direction partial move ratio=0.579743; DEGRADED prefix quality
PV1-025,YES,PULLBACK,NO,opposing-direction partial move ratio=0.216959; DEGRADED prefix quality
PV1-026,YES,DROP,NO,same-direction move not shock: visible prior magnitude 41.57 units is not flat/small; DEGRADED prefix quality
PV1-027,YES,PULLBACK,NO,opposing-direction partial move ratio=0.284328
PV1-028,YES,DROP,NO,opposing-direction full move ratio=1.160264; DEGRADED prefix quality
PV1-029,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
PV1-030,YES,PULLBACK,NO,opposing-direction partial move ratio=0.292596; DEGRADED prefix quality
PV1-031,YES,PULLBACK,NO,opposing-direction partial move ratio=0.346337
PV1-032,YES,PULLBACK,NO,opposing-direction partial move ratio=0.685559; DEGRADED prefix quality
PV1-033,YES,DROP,NO,same-direction move not shock: visible prior magnitude 25.99 units is not flat/small; DEGRADED prefix quality
PV1-034,YES,PULLBACK,NO,opposing-direction partial move ratio=0.169656; DEGRADED prefix quality
PV1-035,YES,PULLBACK,NO,opposing-direction partial move ratio=0.267642; DEGRADED prefix quality
PV1-036,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
