caseId,chartInspected,semanticState,contractAmbiguous,notes
RGV1-001,YES,RANGE,NO,"complete flat recent not within stop band (low 19.53bps, high 777.89bps, unit 10.00); DEGRADED prefix quality"
RGV1-002,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
RGV1-003,YES,RANGE,NO,"complete flat recent not within stop band (low 57.44bps, high 1707.97bps, unit 24.74)"
RGV1-004,YES,RANGE,NO,"complete flat recent not within stop band (low 81.62bps, high 781.67bps, unit 10.00); DEGRADED prefix quality"
RGV1-005,YES,RANGE,NO,"complete flat recent not within stop band (low 851.60bps, high 1017.80bps, unit 10.00); DEGRADED prefix quality"
RGV1-006,YES,RANGE,NO,flat recent not eligible for stop; RANGE; DEGRADED prefix quality
RGV1-007,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
RGV1-008,YES,DROP,NO,same-direction move not shock: visible prior magnitude 57.55 units is not flat/small; DEGRADED prefix quality
RGV1-009,YES,DROP,NO,flat recent but sparse/stale/incomplete; carry prior direction; DEGRADED prefix quality
RGV1-010,YES,DROP,NO,same-direction move not shock: visible prior magnitude 11.86 units is not flat/small; DEGRADED prefix quality
RGV1-011,YES,RANGE,NO,"complete flat recent not within stop band (low 35.13bps, high 434.69bps, unit 10.00); DEGRADED prefix quality"
RGV1-012,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
RGV1-013,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
RGV1-014,YES,DROP,NO,same-direction move not shock: visible prior magnitude 12.18 units is not flat/small; DEGRADED prefix quality
RGV1-015,YES,RANGE,NO,"complete flat recent not within stop band (low 35.51bps, high 1144.96bps, unit 10.00)"
RGV1-016,YES,RANGE,NO,"complete flat recent not within stop band (low 1779.01bps, high 1339.51bps, unit 113.72)"
RGV1-017,YES,RANGE,NO,"complete flat recent not within stop band (low 43.99bps, high 791.15bps, unit 10.00); DEGRADED prefix quality"
RGV1-018,YES,RANGE,NO,"complete flat recent not within stop band (low 363.68bps, high 1335.31bps, unit 10.00); DEGRADED prefix quality"
RGV1-019,YES,RANGE,NO,"complete flat recent not within stop band (low 111.17bps, high 610.23bps, unit 10.00); DEGRADED prefix quality"
RGV1-020,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
RGV1-021,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
RGV1-022,YES,RANGE,NO,"complete flat recent not within stop band (low 13.62bps, high 413.68bps, unit 10.00); DEGRADED prefix quality"
RGV1-023,YES,RANGE,NO,"complete flat recent not within stop band (low 124.48bps, high 896.72bps, unit 27.70); DEGRADED prefix quality"
RGV1-024,YES,RANGE,NO,"complete flat recent not within stop band (low 183.25bps, high 1425.74bps, unit 17.35); DEGRADED prefix quality"
RGV1-025,YES,RANGE,NO,"complete flat recent not within stop band (low 458.37bps, high 1839.61bps, unit 39.32)"
RGV1-026,YES,RANGE,NO,"complete flat recent not within stop band (low 64.13bps, high 472.67bps, unit 10.00); DEGRADED prefix quality"
RGV1-027,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
RGV1-028,YES,RANGE,NO,"complete flat recent not within stop band (low 81.63bps, high 398.46bps, unit 10.00); DEGRADED prefix quality"
RGV1-029,YES,RANGE,NO,"complete flat recent not within stop band (low 90.77bps, high 1056.62bps, unit 12.74); DEGRADED prefix quality"
RGV1-030,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
RGV1-031,YES,RANGE,NO,"complete flat recent not within stop band (low 88.09bps, high 512.95bps, unit 10.00); DEGRADED prefix quality"
RGV1-032,YES,RANGE,NO,"complete flat recent not within stop band (low 109.73bps, high 846.11bps, unit 17.28); DEGRADED prefix quality"
RGV1-033,YES,RANGE,NO,"complete flat recent not within stop band (low 253.18bps, high 1177.83bps, unit 10.00); DEGRADED prefix quality"
RGV1-034,YES,RANGE,NO,"complete flat recent not within stop band (low 45.26bps, high 549.24bps, unit 10.00)"
RGV1-035,YES,RANGE,NO,"complete flat recent not within stop band (low 98.03bps, high 522.69bps, unit 22.88); DEGRADED prefix quality"
RGV1-036,YES,RANGE,NO,"complete flat recent not within stop band (low 253.18bps, high 1177.83bps, unit 41.15); DEGRADED prefix quality"
