caseId,chartInspected,semanticState,contractAmbiguous,notes
RV1-001,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
RV1-002,YES,RISE,NO,down-to-up full recovery ratio=2.2453; DEGRADED prefix quality
RV1-003,YES,REBOUND,NO,prior down/recent up partial recovery ratio=0.801134; DEGRADED prefix quality
RV1-004,YES,RISE,NO,positive recent direction without eligible shock; DEGRADED prefix quality
RV1-005,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction
RV1-006,YES,SHARP_RISE,NO,prefix chart shows abrupt recent upside shock under fixed shock contract; earlier-today shock context differs from fallback prior context; DEGRADED prefix quality
RV1-007,YES,RISE,YES,down-to-up full recovery ratio=1; DEGRADED prefix quality
RV1-008,YES,RISE,NO,positive recent direction without eligible shock
RV1-009,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
RV1-010,YES,RISE,NO,positive recent direction without eligible shock; DEGRADED prefix quality
RV1-011,YES,REBOUND,NO,prior down/recent up partial recovery ratio=0.835233; DEGRADED prefix quality
RV1-012,YES,SHARP_RISE,NO,prefix chart shows abrupt recent upside shock under fixed shock contract; earlier-today shock context differs from fallback prior context; DEGRADED prefix quality
RV1-013,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
RV1-014,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
RV1-015,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
RV1-016,YES,SHARP_RISE,NO,prefix chart shows abrupt recent upside shock under fixed shock contract; earlier-today shock context differs from fallback prior context; DEGRADED prefix quality
RV1-017,YES,REBOUND,YES,prior down/recent up partial recovery ratio=1; DEGRADED prefix quality
RV1-018,YES,RISE,NO,down-to-up full recovery ratio=1.74753
RV1-019,YES,RISE,NO,down-to-up full recovery ratio=2.6578; DEGRADED prefix quality
RV1-020,YES,REBOUND,YES,prior down/recent up partial recovery ratio=1
RV1-021,YES,RISE,YES,down-to-up full recovery ratio=1; DEGRADED prefix quality
RV1-022,YES,SHARP_RISE,NO,prefix chart shows abrupt recent upside shock under fixed shock contract; DEGRADED prefix quality
RV1-023,YES,RISE,NO,positive recent direction without eligible shock
RV1-024,YES,RISE,NO,down-to-up full recovery ratio=1.36927
RV1-025,YES,RISE,NO,down-to-up full recovery ratio=1.56578; DEGRADED prefix quality
RV1-026,YES,REBOUND,NO,prior down/recent up partial recovery ratio=0.716276; DEGRADED prefix quality
RV1-027,YES,SHARP_RISE,NO,prefix chart shows abrupt recent upside shock under fixed shock contract; earlier-today shock context differs from fallback prior context
RV1-028,YES,RISE,NO,positive recent direction without eligible shock; DEGRADED prefix quality
RV1-029,YES,RISE,NO,positive recent direction without eligible shock
RV1-030,YES,REBOUND,NO,prior down/recent up partial recovery ratio=0.857824; DEGRADED prefix quality
RV1-031,YES,RISE,YES,down-to-up full recovery ratio=1; DEGRADED prefix quality
RV1-032,YES,RISE,NO,positive recent direction without eligible shock
RV1-033,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
RV1-034,YES,RISE,NO,positive recent direction without eligible shock
RV1-035,YES,SHARP_RISE,NO,prefix chart shows abrupt recent upside shock under fixed shock contract; DEGRADED prefix quality
RV1-036,YES,RISE,NO,recent direction flat/sparse; fixed contract carries positive prior direction; DEGRADED prefix quality
