caseId,chartInspected,semanticState,contractAmbiguous,notes
SDV1-001,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-002,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
SDV1-003,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-004,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
SDV1-005,YES,SHARP_DROP,YES,abrupt same-direction move 15.94 units with prior magnitude 1.97 units; chart supports shock; DEGRADED prefix quality
SDV1-006,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
SDV1-007,YES,SHARP_DROP,NO,abrupt same-direction move 26.30 units with prior magnitude 1.77 units; chart supports shock; DEGRADED prefix quality
SDV1-008,YES,SHARP_DROP,YES,abrupt same-direction move 14.17 units with prior magnitude 1.98 units; chart supports shock
SDV1-009,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-010,YES,SHARP_DROP,NO,abrupt same-direction move 5.06 units with prior magnitude 1.50 units; chart supports shock; DEGRADED prefix quality
SDV1-011,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-012,YES,SHARP_DROP,NO,abrupt same-direction move 33.91 units with prior magnitude 1.40 units; chart supports shock
SDV1-013,YES,SHARP_DROP,NO,abrupt same-direction move 5.03 units with prior magnitude 1.25 units; chart supports shock; DEGRADED prefix quality
SDV1-014,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-015,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-016,YES,SHARP_DROP,NO,abrupt same-direction move 14.71 units with prior magnitude 1.81 units; chart supports shock
SDV1-017,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-018,YES,SHARP_DROP,NO,abrupt same-direction move 8.89 units with prior magnitude 1.77 units; chart supports shock; DEGRADED prefix quality
SDV1-019,YES,SHARP_DROP,YES,abrupt same-direction move 7.79 units with prior magnitude 1.93 units; chart supports shock; DEGRADED prefix quality
SDV1-020,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-021,YES,SHARP_DROP,NO,abrupt same-direction move 8.91 units with prior magnitude 1.48 units; chart supports shock
SDV1-022,YES,SHARP_DROP,YES,abrupt same-direction move 5.20 units with prior magnitude 1.71 units; chart supports shock; DEGRADED prefix quality
SDV1-023,YES,DROP,NO,flat recent but sparse/stale/incomplete; carry prior direction
SDV1-024,YES,SHARP_DROP,YES,abrupt same-direction move 11.77 units with prior magnitude 1.93 units; chart supports shock; DEGRADED prefix quality
SDV1-025,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-026,YES,DROP,NO,same-direction move not shock: visible prior magnitude 31.90 units is not flat/small; DEGRADED prefix quality
SDV1-027,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-028,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
SDV1-029,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
SDV1-030,YES,SHARP_DROP,NO,abrupt same-direction move 23.20 units with prior magnitude 1.46 units; chart supports shock; DEGRADED prefix quality
SDV1-031,YES,DROP,NO,same-direction move not shock: visible prior magnitude 20.63 units is not flat/small; DEGRADED prefix quality
SDV1-032,YES,SHARP_DROP,YES,visually abrupt same-direction shock; exact earlier-today shock scalar withheld under prior fallback; DEGRADED prefix quality
SDV1-033,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
SDV1-034,YES,DROP,NO,no recent pair; fixed contract carries prior direction or RANGE; DEGRADED prefix quality
SDV1-035,YES,DROP,NO,ordinary same-direction move; shock preconditions not met; DEGRADED prefix quality
SDV1-036,YES,DROP,NO,same-direction move not shock: visible prior magnitude 76.93 units is not flat/small; DEGRADED prefix quality
