caseId,chartInspected,semanticState,contractAmbiguous,notes
SRV1-001,YES,SHARP_RISE,YES,abrupt positive recent move 11.18 units with >=3 transitions; shock qualification depends on visually flat/small earlier-today leg; exact earlier-return scalar withheld
SRV1-002,YES,RISE,NO,positive recent move 56.07 units but prefix path/prior context does not satisfy shock contract; DEGRADED prefix quality
SRV1-003,YES,RISE,NO,positive recent move 5.99 units but prefix path/prior context does not satisfy shock contract; DEGRADED prefix quality
SRV1-004,YES,SHARP_RISE,NO,abrupt positive recent move 6.06 units with >=3 transitions; visible prior magnitude 1.85 units is shock-compatible; DEGRADED prefix quality
SRV1-005,YES,SHARP_RISE,YES,abrupt positive recent move 13.02 units with >=3 transitions; shock qualification depends on visually flat/small earlier-today leg; exact earlier-return scalar withheld; DEGRADED prefix quality
SRV1-006,YES,RISE,NO,positive recent move 18.36 units but prefix path/prior context does not satisfy shock contract
SRV1-007,YES,RISE,NO,positive recent move 3.85 units but prefix path/prior context does not satisfy shock contract; DEGRADED prefix quality
SRV1-008,YES,SHARP_RISE,NO,abrupt positive recent move 6.89 units with >=3 transitions; visible prior magnitude 1.99 units is shock-compatible; DEGRADED prefix quality
SRV1-009,YES,SHARP_RISE,YES,abrupt positive recent move 7.17 units with >=3 transitions; shock qualification depends on visually flat/small earlier-today leg; exact earlier-return scalar withheld; DEGRADED prefix quality
SRV1-010,YES,RISE,NO,positive recent move 3.96 units but prefix path/prior context does not satisfy shock contract; DEGRADED prefix quality
SRV1-011,YES,RISE,NO,positive recent move 3.12 units but prefix path/prior context does not satisfy shock contract
SRV1-012,YES,RISE,NO,positive recent move 19.26 units but prefix path/prior context does not satisfy shock contract
SRV1-013,YES,RISE,NO,positive recent move 3.17 units but prefix path/prior context does not satisfy shock contract
SRV1-014,YES,RISE,NO,positive recent move 4.98 units but prefix path/prior context does not satisfy shock contract
SRV1-015,YES,RISE,NO,positive recent move 3.83 units but prefix path/prior context does not satisfy shock contract
SRV1-016,YES,RISE,NO,positive recent move 5.20 units but prefix path/prior context does not satisfy shock contract
SRV1-017,YES,SHARP_RISE,YES,abrupt positive recent move 3.56 units with >=3 transitions; shock qualification depends on visually flat/small earlier-today leg; exact earlier-return scalar withheld; DEGRADED prefix quality
SRV1-018,YES,SHARP_RISE,YES,abrupt positive recent move 3.71 units with >=3 transitions; shock qualification depends on visually flat/small earlier-today leg; exact earlier-return scalar withheld; DEGRADED prefix quality
SRV1-019,YES,RISE,NO,positive recent move 28.54 units but prefix path/prior context does not satisfy shock contract
