session,timestamp,candidateSymbols,opportunityEvents,initialSymbols,dipSymbols,pricedReferenceSymbols,symbols
2024-09-17,2024-09-17T09:00:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:05:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:10:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:15:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:20:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:25:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:30:00+09:00,5,5,5,0,5,40140 48800 68360 76920 82540
2024-09-17,2024-09-17T09:35:00+09:00,2,2,0,2,2,40140 76920
2024-09-17,2024-09-17T09:40:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:45:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:50:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T09:55:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:00:00+09:00,4,4,4,0,3,27760 73780 92350 92720
2024-09-17,2024-09-17T10:05:00+09:00,2,2,0,2,2,27760 73780
2024-09-17,2024-09-17T10:10:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:15:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:20:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:25:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:30:00+09:00,5,5,5,0,5,143A0 39050 44870 56160 92360
2024-09-17,2024-09-17T10:35:00+09:00,2,2,0,2,2,56160 92360
2024-09-17,2024-09-17T10:40:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:45:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:50:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T10:55:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T11:00:00+09:00,4,4,4,0,4,36250 37700 61840 79920
2024-09-17,2024-09-17T11:05:00+09:00,3,3,0,3,3,36250 37700 61840
2024-09-17,2024-09-17T11:10:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T11:15:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T11:20:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T11:25:00+09:00,0,0,0,0,0,
2024-09-17,2024-09-17T11:30:00+09:00,5,5,5,0,0,32640 49550 50250 53370 95610
