symbol,dailyAvailable60,dailyHM60,intradayAvailable60,intradayHM60,archivalUniqueAvailable60,archivalUniqueHM60,validatedHandoff
13010,4,1,4,3,7,3,False
130A0,4,1,4,1,7,1,False
13320,4,1,4,4,7,4,False
13330,4,1,4,4,7,4,False
13520,0,0,0,0,0,0,False
135A0,4,0,4,4,7,4,False
13750,4,1,1,0,4,1,False
13760,4,1,1,1,4,1,False
13770,4,0,4,4,7,4,False
13790,4,1,1,1,4,1,False
137A0,4,1,1,1,4,1,False
13800,4,0,1,0,4,0,False
13810,4,0,1,0,4,0,False
13820,4,0,1,1,4,1,False
13830,4,0,1,0,4,0,False
13840,4,0,1,1,4,1,False
138A0,4,0,1,1,4,1,False
14000,0,0,0,0,0,0,False
14010,4,0,1,0,4,0,False
14070,4,1,4,4,7,4,False
14130,0,0,0,0,0,0,False
14140,4,1,4,4,7,4,False
14170,4,1,5,4,8,4,False
14180,4,0,1,0,4,0,False
14190,4,1,4,4,7,4,False
141A0,4,1,4,4,7,4,False
14200,4,0,1,0,4,0,False
14290,4,1,4,1,7,2,False
142A0,4,1,1,0,4,1,False
14300,4,0,1,0,4,0,False
14310,4,1,1,0,4,1,False
14330,4,1,4,3,7,4,False
14340,4,0,1,0,4,0,False
14350,4,0,4,1,7,1,False
14360,4,1,1,0,4,1,False
14380,4,1,1,0,4,1,False
14390,4,0,0,0,4,0,False
143A0,4,1,1,1,4,1,False
14430,4,0,1,0,4,0,False
14440,4,0,1,0,4,0,False
14460,4,0,1,0,4,0,False
14470,4,0,1,0,4,0,False
14500,4,0,1,1,4,1,False
14510,4,0,0,0,4,0,False
145A0,4,0,4,3,7,3,False
146A0,4,1,1,1,4,1,False
147A0,4,0,4,3,7,3,False
148A0,4,1,1,1,4,1,False
14910,4,0,4,1,7,1,False
149A0,4,1,1,1,4,1,False
150A0,4,1,1,0,4,1,False
15140,4,1,4,4,7,4,False
15150,4,1,1,1,4,1,False
15180,4,0,4,4,7,4,False
151A0,4,1,1,1,4,1,False
153A0,4,0,4,4,7,4,False
155A0,4,1,4,0,7,1,False
156A0,4,1,1,1,4,1,False
157A0,4,1,1,0,4,1,False
16050,4,1,5,5,8,5,False
160A0,4,1,1,1,4,1,False
165A0,4,0,4,3,7,3,False
16620,4,1,5,4,8,4,False
16630,2,1,5,4,6,4,False
166A0,4,1,4,2,7,3,False
167A0,4,1,5,4,8,4,False
168A0,4,0,1,1,4,1,False
17110,4,0,1,0,4,0,False
17120,4,1,4,3,7,3,False
17160,4,1,1,1,4,1,False
17170,4,0,1,0,4,0,False
17180,4,0,1,1,4,1,False
17190,4,1,5,4,8,4,False
17200,4,1,4,4,7,4,False
17210,4,1,4,3,7,4,False
17230,4,0,4,2,7,2,False
17240,4,0,1,0,4,0,False
17260,4,0,1,0,4,0,False
17300,4,1,0,0,4,1,False
17360,4,0,1,1,4,1,False
17390,0,0,0,0,0,0,False
173A0,4,0,1,0,4,0,False
17430,4,1,1,0,4,1,False
17570,4,0,4,0,7,0,False
17580,4,0,1,0,4,0,False
175A0,4,1,1,1,4,1,False
17620,4,1,1,0,4,1,False
17640,4,0,1,1,4,1,False
17660,4,0,1,1,4,1,False
17680,4,0,1,0,4,0,False
176A0,2,1,4,2,5,3,False
17700,4,0,1,1,4,1,False
17750,4,1,0,0,4,1,False
17760,4,1,1,1,4,1,False
177A0,4,0,1,0,4,0,False
17800,4,1,1,1,4,1,False
17830,4,0,4,0,7,0,False
17860,4,0,4,1,7,1,False
17870,0,0,1,0,1,0,False
17880,4,0,1,0,4,0,False
17890,4,0,0,0,4,0,False
17930,4,0,1,0,4,0,False
17950,4,0,1,0,4,0,False
17980,4,0,1,0,4,0,False
17990,4,1,1,1,4,1,False
18010,4,1,5,4,8,4,False
18020,4,1,5,3,8,3,False
18030,4,1,5,4,8,4,False
18050,4,1,0,0,4,1,False
18070,4,0,1,0,4,0,False
18080,4,1,4,4,7,4,False
18100,4,1,1,1,4,1,False
18110,4,1,1,0,4,1,False
18120,4,1,5,3,8,3,False
18130,4,1,4,4,7,4,False
18140,4,1,4,1,7,1,False
18150,4,1,1,1,4,1,False
18200,4,1,4,4,7,4,False
18210,4,0,4,1,7,1,False
18220,4,1,4,3,7,4,False
18260,2,1,1,1,2,1,False
18270,4,1,4,2,7,3,False
18280,4,1,1,1,4,1,False
18330,4,1,4,4,7,4,False
18350,4,1,4,4,7,4,False
18400,4,0,1,0,4,0,False
18410,4,0,1,0,4,0,False
18440,4,0,5,4,8,4,False
18470,4,1,1,1,4,1,False
18480,4,0,1,0,4,0,False
184A0,4,0,4,0,7,0,False
18500,4,0,1,0,4,0,False
18520,4,1,4,3,7,4,False
18530,4,0,1,0,4,0,False
18600,4,1,4,4,7,4,False
18610,4,1,4,4,7,4,False
18660,2,0,1,1,2,1,False
18670,4,1,1,1,4,1,False
186A0,4,1,4,4,7,4,False
18700,4,1,4,4,7,4,False
18710,4,1,4,4,7,4,False
18730,4,0,1,0,4,0,False
18780,4,1,4,4,7,4,False
18790,4,1,4,3,7,3,False
187A0,4,1,0,0,4,1,False
18820,4,1,4,4,7,4,False
18840,4,1,4,0,7,1,False
18850,4,0,5,4,8,4,False
18870,4,0,4,3,7,3,False
18880,2,1,1,1,2,1,False
18900,4,1,4,3,7,4,False
18930,4,1,5,4,8,4,False
18970,4,1,1,0,4,1,False
18980,4,1,4,3,7,4,False
18990,4,1,1,0,4,1,False
189A0,2,0,1,1,2,1,False
19040,4,1,1,0,4,1,False
19050,4,0,1,1,4,1,False
19090,4,1,1,1,4,1,False
190A0,4,1,4,3,7,3,False
19110,4,1,5,5,8,5,False
19140,2,1,1,1,2,1,False
19210,4,0,4,1,7,1,False
19250,4,1,4,4,7,4,False
19260,4,1,4,4,7,4,False
19280,4,1,5,3,8,3,False
19290,4,1,4,4,7,4,False
192A0,4,0,1,0,4,0,False
19300,2,1,1,1,2,1,False
19340,4,1,4,4,7,4,False
19380,4,1,4,4,7,4,False
19390,4,1,4,3,7,3,False
19410,4,0,4,4,7,4,False
19420,4,1,5,4,8,4,False
19440,4,1,5,4,8,4,False
19450,4,1,4,3,7,3,False
19460,4,0,4,4,7,4,False
19480,4,0,1,1,4,1,False
19490,4,1,4,2,7,2,False
194A0,4,0,1,0,4,0,False
19500,4,1,4,4,7,4,False
19510,4,1,4,3,7,3,False
19520,4,1,4,4,7,4,False
19540,0,0,0,0,0,0,False
19590,4,1,4,4,7,4,False
195A0,4,1,1,0,4,1,False
19600,4,0,1,0,4,0,False
19610,4,1,5,4,8,4,False
19630,4,1,4,4,7,4,False
19640,4,1,1,0,4,1,False
19650,4,1,4,4,7,4,False
19660,4,1,1,1,4,1,False
19670,4,0,1,1,4,1,False
19680,4,1,1,1,4,1,False
19690,4,1,4,4,7,4,False
196A0,4,1,4,2,7,2,False
19710,0,0,0,0,0,0,False
19720,4,0,1,0,4,0,False
19730,4,1,0,0,4,1,False
19750,4,1,5,4,8,4,False
19760,4,1,4,3,7,3,False
19790,4,1,4,4,7,4,False
197A0,4,0,4,4,7,4,False
19800,4,1,5,4,8,4,False
19810,0,0,0,0,0,0,False
19820,4,0,4,1,7,1,False
198A0,4,1,4,1,7,2,False
19920,2,0,0,0,2,0,False
19940,4,0,1,0,4,0,False
