lane,trait,tier,status,pairedSymbols,raw,incremental,CI_low,CI_high,q,calibration,tailRaw,tailIncremental,failedGates,diagnosticCategories
daily,body_s,daily,WATCH,3764,0.16211450874571054,0.1291953062940241,0.033365666626124134,0.13361976099051423,0.004856952761144378,0.12143730219873684,0.16030949462878627,0.14406009636059677,raw|incremental|calibration|timeRandom|tail,RELIABLE_PARTIAL_GATE_FAILURE:NOT_ESTABLISHED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:INDICATION|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:CONFIRMED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,body_range,daily,WATCH,3764,0.3394044928886219,0.226102821226518,0.10493653137709472,0.20702741307683306,0.004856952761144378,0.21742849915436321,0.3404855736072289,0.22749317636360353,calibration,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,upper_wick,daily,WATCH,3764,0.5135343880360067,0.32480374929268885,0.21754115625396042,0.2796043624562069,0.004856952761144378,0.4042509189855682,0.5116482610970549,0.29565403987640304,calibration|timeRandom,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,lower_wick,daily,WATCH,3764,0.4882293038206791,0.35911108182574547,0.24115025001166393,0.31304887990491637,0.004856952761144378,0.39004939221838264,0.4873044842102304,0.34420475806089695,calibration|timeRandom,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,clv,daily,WATCH,3764,0.33815539211024653,0.2739500939422776,0.16408748882618615,0.2554611072260458,0.004856952761144378,0.3202929490775283,0.338036696369094,0.24763536068669018,calibration|timeRandom,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,large_up,daily,WATCH,3764,0.41306729085977784,0.18941206540264593,0.07580361643967068,0.14442822247887896,0.004856952761144378,0.17153672108191353,0.41238721761342423,0.1941380722657569,calibration,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,large_dn,daily,WATCH,3764,0.46329754512093535,0.12599602766572798,0.03812933403676268,0.11960145062156322,0.004856952761144378,0.13421717948566422,0.45860931051821396,0.12601879330707785,incremental|calibration|tail,RELIABLE_PARTIAL_GATE_FAILURE:NOT_ESTABLISHED|PEER_ADJUSTMENT_LOSS:CONFIRMED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:INDICATION|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,doji,daily,WATCH,3764,0.31579325418146437,0.37778315937125945,0.24305463678652817,0.29839934895832876,0.004856952761144378,0.4744744245425449,0.3148566888868162,0.3686334370609918,calibration,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,long_lower,daily,WATCH,3764,0.4611870907073105,0.3491514345095428,0.22230687740250055,0.2939764644247902,0.004856952761144378,0.35557027233993593,0.4620150693231511,0.34360428060079967,calibration,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
daily,long_upper,daily,WATCH,3764,0.4245437425947536,0.34288839052686443,0.21780399183793847,0.28324339937013887,0.004856952761144378,0.3816213426569945,0.4236968066842054,0.32738390549310775,calibration|timeRandom,RELIABLE_PARTIAL_GATE_FAILURE:CONFIRMED|PEER_ADJUSTMENT_LOSS:NOT_ESTABLISHED|STRATUM_LOCAL_SIGNAL:NOT_ESTABLISHED|RECENT_ONLY_RELIABILITY:UNKNOWN|PEER_CLUSTER_RELIABILITY:UNKNOWN|SAMPLE_INSUFFICIENT:NOT_ESTABLISHED|TAIL_SESSION_SENSITIVITY:NOT_ESTABLISHED|DEFINITION_INSTABILITY:NOT_ESTABLISHED|NO_RELIABILITY_DEMONSTRATED:NOT_ESTABLISHED|REDUNDANT_RELIABLE_TRAIT:NOT_ESTABLISHED
