arm,selectorEventId,sessionDate,symbol,decisionTimestamp,decisionPrice,decisionPriceAvailableAtJst,referenceAgeMin,savedV1Score,oldEligibleRank,newEligibleRank,priceGateStatus
old,2024-09-17|2024-09-17T09:30:00+09:00|82540,2024-09-17,82540,2024-09-17T09:30:00+09:00,452.0,2024-09-17T09:30:00+09:00,0,81.17722425142293,1,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T09:30:00+09:00|68360,2024-09-17,68360,2024-09-17T09:30:00+09:00,3450.0,2024-09-17T09:30:00+09:00,0,79.72524701893315,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T09:30:00+09:00|76920,2024-09-17,76920,2024-09-17T09:30:00+09:00,92.0,2024-09-17T09:30:00+09:00,0,75.85073121538572,3,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T09:30:00+09:00|48800,2024-09-17,48800,2024-09-17T09:30:00+09:00,1252.0,2024-09-17T09:30:00+09:00,0,67.30213123057634,4,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T09:30:00+09:00|40140,2024-09-17,40140,2024-09-17T09:30:00+09:00,635.0,2024-09-17T09:30:00+09:00,0,65.61792373930524,5,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:00:00+09:00|73780,2024-09-17,73780,2024-09-17T10:00:00+09:00,950.0,2024-09-17T10:00:00+09:00,0,64.46332978827117,1,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:00:00+09:00|92720,2024-09-17,92720,2024-09-17T10:00:00+09:00,1616.0,2024-09-17T10:00:00+09:00,0,63.22801256543242,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:00:00+09:00|27760,2024-09-17,27760,2024-09-17T10:00:00+09:00,158.0,2024-09-17T10:00:00+09:00,0,62.59432276136618,3,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:00:00+09:00|92350,2024-09-17,92350,2024-09-17T10:00:00+09:00,1451.0,2024-09-17T09:57:00+09:00,3,55.66134798607823,4,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:00:00+09:00|76920,2024-09-17,76920,2024-09-17T10:00:00+09:00,88.0,2024-09-17T10:00:00+09:00,0,55.60183338052108,5,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:30:00+09:00|44870,2024-09-17,44870,2024-09-17T10:30:00+09:00,424.0,2024-09-17T10:30:00+09:00,0,69.13593267509539,1,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:30:00+09:00|56160,2024-09-17,56160,2024-09-17T10:30:00+09:00,1070.0,2024-09-17T10:30:00+09:00,0,67.44938330720693,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:30:00+09:00|92360,2024-09-17,92360,2024-09-17T10:30:00+09:00,1011.0,2024-09-17T10:29:00+09:00,1,57.89935581310411,3,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:30:00+09:00|143A0,2024-09-17,143A0,2024-09-17T10:30:00+09:00,1046.0,2024-09-17T10:29:00+09:00,1,51.89352689540485,4,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T10:30:00+09:00|39050,2024-09-17,39050,2024-09-17T10:30:00+09:00,1235.0,2024-09-17T10:30:00+09:00,0,49.21342831697169,5,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:00:00+09:00|36250,2024-09-17,36250,2024-09-17T11:00:00+09:00,549.0,2024-09-17T11:00:00+09:00,0,59.389390590670274,1,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:00:00+09:00|79920,2024-09-17,79920,2024-09-17T11:00:00+09:00,111.0,2024-09-17T11:00:00+09:00,0,51.172152933303565,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:00:00+09:00|81070,2024-09-17,81070,2024-09-17T11:00:00+09:00,17.0,2024-09-17T11:00:00+09:00,0,47.95392737817731,3,,INELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:00:00+09:00|56160,2024-09-17,56160,2024-09-17T11:00:00+09:00,1044.0,2024-09-17T11:00:00+09:00,0,44.73876733448571,4,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:00:00+09:00|37700,2024-09-17,37700,2024-09-17T11:00:00+09:00,396.0,2024-09-17T10:58:00+09:00,2,39.43648355210914,5,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:30:00+09:00|50250,2024-09-17,50250,2024-09-17T11:30:00+09:00,925.0,2024-09-17T11:30:00+09:00,0,84.60289478784772,1,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:30:00+09:00|32640,2024-09-17,32640,2024-09-17T11:30:00+09:00,176.0,2024-09-17T11:28:00+09:00,2,62.48957536997015,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:30:00+09:00|49550,2024-09-17,49550,2024-09-17T11:30:00+09:00,1282.0,2024-09-17T11:30:00+09:00,0,57.67450339814354,3,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:30:00+09:00|57210,2024-09-17,57210,2024-09-17T11:30:00+09:00,24.0,2024-09-17T11:30:00+09:00,0,53.07754297778217,4,,INELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T11:30:00+09:00|95610,2024-09-17,95610,2024-09-17T11:30:00+09:00,1003.0,2024-09-17T11:25:00+09:00,5,51.17952750469605,5,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:00:00+09:00|17570,2024-09-17,17570,2024-09-17T13:00:00+09:00,25.0,2024-09-17T12:58:00+09:00,2,93.19914348297534,1,,INELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:00:00+09:00|69050,2024-09-17,69050,2024-09-17T13:00:00+09:00,1045.0,2024-09-17T13:00:00+09:00,0,74.99079607931859,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:00:00+09:00|30700,2024-09-17,30700,2024-09-17T13:00:00+09:00,113.0,2024-09-17T13:00:00+09:00,0,65.7374350465754,3,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:00:00+09:00|37700,2024-09-17,37700,2024-09-17T13:00:00+09:00,373.0,2024-09-17T13:00:00+09:00,0,63.33024666553759,4,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:00:00+09:00|93450,2024-09-17,93450,2024-09-17T13:00:00+09:00,1501.0,2024-09-17T12:59:00+09:00,1,59.8704359319581,5,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:30:00+09:00|212A0,2024-09-17,212A0,2024-09-17T13:30:00+09:00,1133.0,2024-09-17T13:30:00+09:00,0,68.76479292629354,1,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:30:00+09:00|73560,2024-09-17,73560,2024-09-17T13:30:00+09:00,146.0,2024-09-17T13:30:00+09:00,0,55.21106718380943,2,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:30:00+09:00|55800,2024-09-17,55800,2024-09-17T13:30:00+09:00,1187.0,2024-09-17T13:30:00+09:00,0,52.082330232166,3,,ELIGIBLE_MIN_PRICE
old,2024-09-17|2024-09-17T13:30:00+09:00|93450,2024-09-17,93450,2024-09-17T13:30:00+09:00,1505.0,2024-09-17T13:25:00+09:00,5,48.17077710358996,4,,ELIGIBLE_MIN_PRICE
