chartId,file,pivotSignature,rubricTags,reviewer,pnlVisible,futureViewUsed,rationale
1,01_2025-07-16_47840_0955.png,H_DOWN|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
2,02_2025-08-06_64790_1115.png,H_DOWN|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
3,03_2025-07-16_45520_1305.png,H_DOWN|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
4,04_2025-06-02_31100_1420.png,H_DOWN|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
5,05_2025-06-25_319A0_0930.png,H_DOWN|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
6,06_2025-07-02_57210_1010.png,H_DOWN|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
7,07_2025-06-26_341A0_1350.png,H_DOWN|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
8,08_2025-08-21_39970_1440.png,H_DOWN|L_EQ,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
9,09_2025-05-30_338A0_0945.png,H_DOWN|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
10,10_2025-06-11_39070_1010.png,H_DOWN|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
11,11_2025-06-11_72050_1130.png,H_DOWN|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
12,12_2025-07-09_45840_1455.png,H_DOWN|L_UP,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
13,13_2025-06-13_34910_0935.png,H_EQ|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
14,14_2025-07-09_95190_1000.png,H_EQ|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
15,15_2025-08-05_45400_1345.png,H_EQ|L_DOWN,EXISTING_AXES_SUFFICIENT,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Displayed Direction/Phase/Attributes materially describe the as-of chart without requiring a new Structure label."
16,16_2025-06-03_76030_1405.png,H_EQ|L_DOWN,EXISTING_AXES_SUFFICIENT|DATA_OR_OBSERVATION_ARTIFACT_SUSPECTED,OPENAI_SINGLE_REVIEW_PASS_2026-09-21,false,false,"Existing Direction/Attributes describe the as-of move; earlier path is visibly sparse/gapped, so ObservationQuality must remain explicit."
