observedAt,row,date,time,open,high,low,close,volume
2026-09-15 11:15:42.447,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:42.472,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:42.498,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:42.526,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:42.559,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:42.593,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:42.624,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:42.654,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:42.682,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:42.709,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:43.068,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:43.136,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:43.162,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:43.187,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:43.213,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:43.239,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:43.268,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:43.299,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:43.330,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:43.364,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:43.745,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:43.777,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:43.809,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:43.841,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:43.874,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:43.907,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:43.945,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:43.991,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:44.036,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:44.079,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:44.470,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:44.503,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:44.534,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:44.566,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:44.598,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:44.750,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:44.789,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:44.825,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:44.857,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:44.891,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:45.258,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:45.287,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:45.315,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:45.345,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:45.373,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:45.402,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:45.430,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:45.460,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:45.487,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:45.515,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:45.868,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:45.897,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:45.923,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:45.951,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:45.975,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:46.001,120,2026/09/15,10:55,3027,3027,3020,3022,174700
2026-09-15 11:15:46.029,121,2026/09/15,11:00,3022,3022,3019,3020,128100
2026-09-15 11:15:46.058,122,2026/09/15,11:05,3020,3022,3019,3020,191500
2026-09-15 11:15:46.089,123,2026/09/15,11:10,3020,3021,3019,3020,85700
2026-09-15 11:15:46.240,124,2026/09/15,11:15,3021,3021,3020,3021,1600
2026-09-15 11:15:46.623,115,2026/09/15,10:30,3029,3032,3027,3029,170400
2026-09-15 11:15:46.652,116,2026/09/15,10:35,3029,3030,3028,3030,126300
2026-09-15 11:15:46.679,117,2026/09/15,10:40,3030,3030,3027,3029,120400
2026-09-15 11:15:46.706,118,2026/09/15,10:45,3029,3030,3026,3029,126100
2026-09-15 11:15:46.733,119,2026/09/15,10:50,3029,3029,3026,3027,98900
2026-09-15 11:15:46.762,120,2026/09/15,10:55,3027,3027,3020,3022,174700
